,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
0,405,621f79e143b89009366c8677,2021-07-28T22:00:00.000Z,karmaticacid#1218,Vyvy-vi#5040,"for recording the GIVeconomy talk, and saving the day 🎉",False,True,False,Usua◎ Silver#2618,liviade#1387,shawn#7046,66.33,144.0,False,"for recording the GIVeconomy talk, and saving the day 🎉"
85,419,621f79e143b89009366c8685,2021-07-28T22:00:00.000Z,DanKnobelsdorf#0326,divine_comedian#5493,for speaking at the conferences last week,False,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,21.0,55.0,False,for speaking at the conferences last week
86,540,621f79e143b89009366c8710,2021-07-30T22:00:00.000Z,DanKnobelsdorf#0326,Mount Manu#3530,for speaking at the conferences,False,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,6.17,55.0,False,for speaking at the conferences
168,523,621f79e143b89009366c86ff,2021-07-30T22:00:00.000Z,DanKnobelsdorf#0326,Mount Manu#3530,for visiting Suga’s house,True,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,1.13,34.0,False,for visiting Suga’s house
172,515,621f79e143b89009366c86f7,2021-07-30T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for that night they stayed up listening to music with Chuy,True,False,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,2.13,34.0,False,for that night they stayed up listening to music with Chuy
254,139,621f79e143b89009366c84fc,2021-07-15T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for ,True,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,0.7,21.0,False,for 
304,492,621f79e143b89009366c86e0,2021-07-30T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for ,True,True,False,Usua◎ Silver#2618,Vyvy-vi#5040,calazki#3961,0.43,13.0,False,for 
308,294,621f79e143b89009366c85a1,2021-07-15T22:00:00.000Z,solsista#5370,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!,True,False,False,osycross(🦎🦎)#5943,bends#3537,calazki#3961,7.0,13.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!
364,307,621f79e143b89009366c85ae,2021-07-15T22:00:00.000Z,vicente.eth#4828,iviangita#3204,for him Juan wouldn’t be where he is,False,False,True,AmwFund#0979,bends#3537,Mettodo#7010,4.33,8.0,False,for him Juan wouldn’t be where he is
473,436,621f79e143b89009366c8696,2021-07-28T22:00:00.000Z,Tam2140#9361,liviade#1387,for taking vacation!,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,2.0,3.0,False,for taking vacation!
474,514,621f79e143b89009366c86f6,2021-07-30T22:00:00.000Z,Juankbell#7458,iviangita#3204,for that night they stayed up listening to music with Chuy,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,divine_comedian#5493,1.33,3.0,False,for that night they stayed up listening to music with Chuy
476,522,621f79e143b89009366c86fe,2021-07-30T22:00:00.000Z,Juankbell#7458,Mount Manu#3530,for visiting Suga’s house,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,divine_comedian#5493,1.33,3.0,False,for visiting Suga’s house
490,483,621f79e143b89009366c86d7,2021-07-30T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking some vacation,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,1.1,3.0,False,for taking some vacation
541,491,621f79e143b89009366c86df,2021-07-30T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for ward,False,False,True,AmwFund#0979,bends#3537,shawn#7046,0.67,1.0,False,for ward
542,400,621f79e143b89009366c866d,2021-07-27T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for ,True,False,True,Tam2140#9361,bends#3537,divine_comedian#5493,0.33,1.0,False,for 
