,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
1,123,621f79e143b89009366c84ec,2021-07-15T22:00:00.000Z,iviangita#3204,iviangita#3204,for all her work on the praise,0,621f79e143b89009366c8473,621f79e143b89009366c8473,Tamarandom#9361,bends#3537,divine_comedian#5493,6.97,144.0,False,for all her work on the praise
5,145,621f79e143b89009366c8502,2021-07-15T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for all of their contributions to comms,0,0,621f79e143b89009366c841e,Usua◎ Silver#2618,liviade#1387,calazki#3961,49.7,144.0,False,for all of their contributions to comms
11,108,621f79e143b89009366c84dd,2021-07-15T22:00:00.000Z,iviangita#3204,storypup#2167,for auditing this channel and making sure those that no one misses out on getting praise they deserve.,0,621f79e143b89009366c8473,0,Tamarandom#9361,bends#3537,divine_comedian#5493,10.8,144.0,False,for auditing this channel and making sure those that no one misses out on getting praise they deserve.
12,128,621f79e143b89009366c84f1,2021-07-15T22:00:00.000Z,Nuggan#5183,iviangita#3204,for making the params parties work out,0,0,621f79e143b89009366c8530,Usua◎ Silver#2618,liviade#1387,shawn#7046,52.63,144.0,False,for making the params parties work out
15,409,621f79e143b89009366c867b,2021-07-28T22:00:00.000Z,acidlazzer#5796,Juankbell#7458,for helping with Gravity's infographics! this is the mediation process for gravitons (still to polish some wording),0,0,621f79e143b89009366c865c,Usua◎ Silver#2618,liviade#1387,calazki#3961,50.37,144.0,False,for helping with Gravity's infographics! this is the mediation process for gravitons (still to polish some wording)
16,496,621f79e143b89009366c86e4,2021-07-30T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for helping with Gravity’s infographics,0,621f79e143b89009366c867b,621f79e143b89009366c841e,Usua◎ Silver#2618,liviade#1387,calazki#3961,48.87,144.0,False,for helping with Gravity’s infographics
17,168,621f79e143b89009366c8519,2021-07-15T22:00:00.000Z,liviade#1387,iviangita#3204,for the Impact Hour spreadsheet,0,0,621f79e143b89009366c8514,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,51.5,144.0,False,for the Impact Hour spreadsheet
19,272,621f79e143b89009366c8581,2021-07-15T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,0,621f79e143b89009366c8579,0,Tamarandom#9361,bends#3537,divine_comedian#5493,9.13,144.0,False,for being the heroes in finalizing all the details needed for us to hatch
21,193,621f79e143b89009366c8532,2021-07-15T22:00:00.000Z,jukren#8803,Mount Manu#3530,for all their fantastic Paris tips for this upcoming week,621f79e143b89009366c84b4,0,621f79e143b89009366c84b4,osycross(🦎🦎)#5943,bends#3537,calazki#3961,6.9,144.0,False,for all their fantastic Paris tips for this upcoming week
23,425,621f79e143b89009366c868b,2021-07-28T22:00:00.000Z,markop#2007,divine_comedian#5493,for their work building to the commons config dashboard,0,0,621f79e143b89009366c865e,Usua◎ Silver#2618,liviade#1387,calazki#3961,52.5,144.0,False,for their work building to the commons config dashboard
