index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
405,621f79e143b89009366c8677,2021-07-28T22:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Vyvy-vi#5040,"for recording the GIVeconomy talk, and saving the day 🎉",144.0,0.0,55.0,,,,False,True,False,Usua◎ Silver#2618,liviade#1387,shawn#7046,66.33,144.0
123,621f79e143b89009366c84ec,2021-07-15T22:00:00.000Z,iviangita#3204,iviangita#3204,for all her work on the praise,1.0,144.0,55.0,,621f79e143b89009366c8473,621f79e143b89009366c8473,False,False,False,Tamarandom#9361,bends#3537,divine_comedian#5493,6.97,143.0
326,621f79e143b89009366c85c2,2021-07-18T22:00:00.000Z,liviade#1387,Griff 🔥AFK till Sept 15🔥#8888,for being brave enough to let it happen,144.0,5.0,1.0,,,,False,False,False,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,50.0,143.0
24,621f79e143b89009366c847c,2021-07-12T22:00:00.000Z,liviade#1387,Griff 🔥AFK till Sept 15🔥#8888,for jumping in and observing the Praise Audit finalization,144.0,3.0,13.0,,,,False,False,False,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,53.33,141.0
410,621f79e143b89009366c867c,2021-07-28T22:00:00.000Z,Alp#3768,Mount Manu#3530,"for a 2-hour onboarding session full of questions, insights, and specialized knowledge",144.0,8.0,3.0,,,,False,False,False,Usua◎ Silver#2618,bends#3537,Mettodo#7010,51.67,141.0
145,621f79e143b89009366c8502,2021-07-15T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for all of their contributions to comms,144.0,3.0,21.0,,,621f79e143b89009366c841e,False,False,False,Usua◎ Silver#2618,liviade#1387,calazki#3961,49.7,141.0
10,621f79e143b89009366c846e,2021-07-12T22:00:00.000Z,JeffEmmett#7202,Griff 🔥AFK till Sept 15🔥#8888,for hacking on the buckets for Praisemaggeden for 3hours last night... it was fun to hang out 😄,144.0,3.0,21.0,,,,False,False,False,Usua◎ Silver#2618,bends#3537,calazki#3961,56.0,141.0
0,621f79e143b89009366c841c,2021-07-11T22:00:00.000Z,Suga#8514,Vyvy-vi#5040,for making edits in the welcome text,3.0,3.0,144.0,,,,False,False,False,Tamarandom#9361,Vyvy-vi#5040,Mettodo#7010,50.0,141.0
593,621f79e143b89009366c8745,2021-07-30T22:00:00.000Z,Alp#3768,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard and providing valuable feedback on how to make it better!,144.0,3.0,3.0,,,,False,False,False,Usua◎ Silver#2618,bends#3537,Mettodo#7010,50.0,141.0
521,621f79e143b89009366c86fd,2021-07-30T22:00:00.000Z,"sem(🌸,🐝)#0161",Mount Manu#3530,for all the dancing,144.0,5.0,3.0,,,,False,False,False,Usua◎ Silver#2618,bends#3537,shawn#7046,50.67,141.0
288,621f79e143b89009366c859b,2021-07-15T22:00:00.000Z,"sem(🌸,🐝)#0161",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!,144.0,5.0,55.0,,,,False,False,False,Usua◎ Silver#2618,bends#3537,shawn#7046,68.0,139.0
108,621f79e143b89009366c84dd,2021-07-15T22:00:00.000Z,iviangita#3204,storypup#2167,for auditing this channel and making sure those that no one misses out on getting praise they deserve.,5.0,144.0,13.0,,621f79e143b89009366c8473,,False,False,False,Tamarandom#9361,bends#3537,divine_comedian#5493,10.8,139.0
128,621f79e143b89009366c84f1,2021-07-15T22:00:00.000Z,Nuggan#5183,iviangita#3204,for making the params parties work out,144.0,5.0,89.0,,,621f79e143b89009366c8530,False,False,False,Usua◎ Silver#2618,liviade#1387,shawn#7046,52.63,139.0
264,621f79e143b89009366c8579,2021-07-15T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for stewarding this community successfully into the Hatch,5.0,144.0,8.0,,,,False,False,False,Tamarandom#9361,bends#3537,divine_comedian#5493,52.33,139.0
526,621f79e143b89009366c8702,2021-07-30T22:00:00.000Z,OddName#8763,iviangita#3204,for the amazing brainstorming around governance and the narratives of DAOs with Livia,144.0,13.0,5.0,,,,False,False,False,Usua◎ Silver#2618,Vyvy-vi#5040,Mettodo#7010,54.0,139.0
409,621f79e143b89009366c867b,2021-07-28T22:00:00.000Z,acidlazzer#5796,Juankbell#7458,for helping with Gravity's infographics! this is the mediation process for gravitons (still to polish some wording),144.0,5.0,21.0,,,621f79e143b89009366c865c,False,False,False,Usua◎ Silver#2618,liviade#1387,calazki#3961,50.37,139.0
496,621f79e143b89009366c86e4,2021-07-30T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for helping with Gravity’s infographics,144.0,5.0,21.0,,621f79e143b89009366c867b,621f79e143b89009366c841e,False,False,False,Usua◎ Silver#2618,liviade#1387,calazki#3961,48.87,139.0
168,621f79e143b89009366c8519,2021-07-15T22:00:00.000Z,liviade#1387,iviangita#3204,for the Impact Hour spreadsheet,144.0,5.0,55.0,,,621f79e143b89009366c8514,False,False,False,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,51.5,139.0
384,621f79e143b89009366c865c,2021-07-25T22:00:00.000Z,acidlazzer#5796,David (please DYOR...)#4116,for relentlessly pumping out the graphics💛,144.0,5.0,21.0,,,,False,False,False,Usua◎ Silver#2618,liviade#1387,calazki#3961,56.67,139.0
272,621f79e143b89009366c8581,2021-07-15T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,5.0,144.0,8.0,,621f79e143b89009366c8579,,False,False,False,Tamarandom#9361,bends#3537,divine_comedian#5493,9.13,139.0
191,621f79e143b89009366c8530,2021-07-15T22:00:00.000Z,Nuggan#5183,iviangita#3204,"for jumping in params, giving feedback and asking questions",144.0,5.0,89.0,,,,False,False,False,Usua◎ Silver#2618,liviade#1387,shawn#7046,79.33,139.0
193,621f79e143b89009366c8532,2021-07-15T22:00:00.000Z,jukren#8803,Mount Manu#3530,for all their fantastic Paris tips for this upcoming week,13.0,5.0,144.0,621f79e143b89009366c84b4,,621f79e143b89009366c84b4,False,False,False,osycross(🦎🦎)#5943,bends#3537,calazki#3961,6.9,139.0
376,621f79e143b89009366c8606,2021-07-25T22:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Griff 🔥AFK till Sept 15🔥#8888,for helping me write and rewrite the forum post on the power of defaults: https://forum.tecommons.org/t/the-power-of-defaults-in-the-commons-configuration-dashboard/511/2,144.0,5.0,55.0,,,,False,False,False,Usua◎ Silver#2618,liviade#1387,shawn#7046,68.0,139.0
425,621f79e143b89009366c868b,2021-07-28T22:00:00.000Z,markop#2007,divine_comedian#5493,for their work building to the commons config dashboard,144.0,8.0,55.0,,,621f79e143b89009366c865e,False,False,False,Usua◎ Silver#2618,liviade#1387,calazki#3961,52.5,136.0
