,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,DUPLICATION AGREED,ORIGINAL MSG
22,621f79e143b89009366c847a,2021-07-12T22:00:00.000Z,freshelle#9882,"griff (💜, 💜)#8888",for jumping in and observing the Praise Audit finalization,621f79e143b89009366c8475,0,621f79e143b89009366c8475,osycross(🦎🦎)#5943,tigeroid#2951,shawn#7046,3.1,False,for jumping in and observing the Praise Audit finalization
23,621f79e143b89009366c847b,2021-07-12T22:00:00.000Z,iviangita#3204,"griff (💜, 💜)#8888",for jumping in and observing the Praise Audit finalization,0,0,621f79e143b89009366c8473,Tam2140#9361,bends#3537,divine_comedian#5493,3.83,False,for jumping in and observing the Praise Audit finalization
25,621f79e143b89009366c847d,2021-07-12T22:00:00.000Z,Juankbell#7458,"griff (💜, 💜)#8888",for jumping in and observing the Praise Audit finalization,0,0,621f79e143b89009366c8477,osycross(🦎🦎)#5943,Vyvy-vi#5040,divine_comedian#5493,5.5,False,for jumping in and observing the Praise Audit finalization
26,621f79e143b89009366c847e,2021-07-12T22:00:00.000Z,iviangita#3204,eduardovegap#0422,for an amazing work on the TS final list of activated members!,0,621f79e143b89009366c8471,0,Tam2140#9361,bends#3537,divine_comedian#5493,6.03,False,for an amazing work on the TS final list of activated members!
29,621f79e143b89009366c8481,2021-07-12T22:00:00.000Z,divine_comedian#5493,Zeptimus#3359,for posting all the post recently posted so huge work!,0,0,621f79e143b89009366c8466,Usua◎ Silver#2618,Vyvy-vi#5040,calazki#3961,5.47,False,for posting all the post recently posted so huge work!
33,621f79e143b89009366c8485,2021-07-12T22:00:00.000Z,anna-marie#8824,chuygarcia.eth#6692,for attending Comms WG today <:TEC:835016327542210560>,0,0,621f79e143b89009366c8493,Tam2140#9361,bends#3537,shawn#7046,0.67,False,for attending Comms WG today <:TEC:835016327542210560>
46,621f79e143b89009366c8498,2021-07-13T22:00:00.000Z,DanKnobelsdorf#0326,pavl#1561,for his huge help and fast answers on the Trusted Seed topic!,0,0,621f79e143b89009366c842a,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,3.67,False,for his huge help and fast answers on the Trusted Seed topic!
61,621f79e143b89009366c84ac,2021-07-13T22:00:00.000Z,iviangita#3204,liviade#1387,for the incredible work they've been doing with the praise audit and preparing the last details so the praise sheets are ready for the hatch,0,621f79e143b89009366c8471,621f79e143b89009366c8473,Tam2140#9361,bends#3537,divine_comedian#5493,4.2,False,for the incredible work they've been doing with the praise audit and preparing the last details so the praise sheets are ready for the hatch
72,621f79e143b89009366c84b7,2021-07-13T22:00:00.000Z,"griff (💜, 💜)#8888",liviade#1387,for hacking on the IH integration last night 🙌,621f79e143b89009366c846f,0,0,AmwFund#0979,bends#3537,shawn#7046,18.77,False,for hacking on the IH integration last night 🙌
80,621f79e143b89009366c84bf,2021-07-13T22:00:00.000Z,anna-marie#8824,Suga#8514,for attending the Orientation/AMA today!,0,0,621f79e143b89009366c84b9,Tam2140#9361,bends#3537,shawn#7046,1.1,False,for attending the Orientation/AMA today!
