USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,112.20471231081898,0.0,0.0,0.0,112.20471231081898
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,71.83682451294955,0.0,0.0,7.035,78.87182451294954
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,73.34512130664265,0.0,0.0,0.0,73.34512130664265
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,58.86547208718892,12.838243579121789,118.0,0.0,71.70371566631071
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,65.82877561807206,0.0,0.0,0.0,65.82877561807206
Mert Ozd#6679,0x9690a9e92edadd9a4ff64da25eb6ad60791c37ff,65.01178152148829,0.0,0.0,0.0,65.01178152148829
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,64.94893582175108,0.0,0.0,0.0,64.94893582175108
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,51.67173432393601,12.294250207125103,113.0,0.0,63.96598453106111
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,49.719327918766616,0.0,0.0,7.035,56.75432791876662
zhiwei#1356,0x1f83a7b86480e6142a85558ef6999f6091041906,41.08851848818945,11.423860811930405,105.0,0.0,52.512379300119854
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,46.4010749726418,0.0,0.0,0.0,46.4010749726418
EFRA#7972,0x438cddcc8e6f0e0e18ce33f6b5a8ffcfab5a999c,46.08684647395574,0.0,0.0,0.0,46.08684647395574
jasontphelpsNH#9486,0x6b6c5652d7cb8fcb470213912381bca77183e641,43.27135912572862,0.0,0.0,0.0,43.27135912572862
