,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
99,116,629ccc9f569ee334a45d48a7,2022-06-05T15:32:47.748Z,karmaticacid | AFK til Sept 12#1218,Tamarandom#9361,for not requesting full Steward compensation because they were not fully active as Stewards this month.,False,False,True,False,missgene#7773,acidlazzer#5796,shawn#7046,Vyvy-vi#5040,6.75,21.0,False,for not requesting full Steward compensation because they were not fully active as Stewards this month.
102,564,62a7ab4da12b884b0d8c198c,2022-06-13T21:25:33.595Z,Tamarandom#9361,mattyjee#8621,for documenting and defining the process by which we will onboard new communities to using the praise system.,False,False,False,True,zhiwei#1356,Nuggan#5183,shawn#7046,divine_comedian#5493,9.67,21.0,False,for documenting and defining the process by which we will onboard new communities to using the praise system.
159,151,629dbc4a569ee334a45d49b8,2022-06-06T08:35:22.670Z,bear100#9085,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Mike Brunt#0745,boonjue.eth#7124,Usua◎ Silver#2618,Vyvy-vi#5040,3.75,13.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
177,147,629dbc49569ee334a45d499c,2022-06-06T08:35:21.072Z,Nuggan#5183,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,False,True,hanners717#2022,acidlazzer#5796,osycross(🦎🦎)#5943,divine_comedian#5493,5.33,13.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
179,146,629dbc48569ee334a45d4995,2022-06-06T08:35:20.889Z,trentmc0#2875,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,False,True,missgene#7773,Nuggan#5183,EFRA#7972,lee0007#8152,5.33,13.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
183,140,629dbc44569ee334a45d496a,2022-06-06T08:35:16.875Z,r33pich33p#6906,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,False,zhiwei#1356,boonjue.eth#7124,EFRA#7972,innov8tor3#3988,5.5,13.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
249,308,62a29adea12b884b0d8c0fcc,2022-06-10T01:14:06.329Z,divine_comedian#5493,pat.zip (TE Academy)#5266,for hosting today's community call and encouraging newcomers to ditch praises for the first time!,False,False,False,True,missgene#7773,acidlazzer#5796,Usua◎ Silver#2618,lee0007#8152,3.67,8.0,False,for hosting today's community call and encouraging newcomers to ditch praises for the first time!
258,144,629dbc47569ee334a45d4986,2022-06-06T08:35:19.319Z,acidlazzer#5796,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,True,False,True,Mike Brunt#0745,liviade#1387,osycross(🦎🦎)#5943,lee0007#8152,2.67,8.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
259,515,62a6653ba12b884b0d8c17b0,2022-06-12T22:14:19.976Z,gritty67#0518,pat.zip (TE Academy)#5266,[TRANSCRIBED MAY 12TH] for hosting TE 360.,False,True,False,False,tigeroid#2951,liviade#1387,Usua◎ Silver#2618,Zeptimus#3359,4.5,8.0,False,[TRANSCRIBED MAY 12TH] for hosting TE 360.
276,541,62a6b193a12b884b0d8c18b2,2022-06-13T03:40:03.130Z,Rohekbenitez#8753,freshelle#9882,for mentioning or retweeting TE Commons on the socials last week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,True,False,False,False,tigeroid#2951,boonjue.eth#7124,Usua◎ Silver#2618,innov8tor3#3988,2.5,8.0,False,for mentioning or retweeting TE Commons on the socials last week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼
367,242,62a23572a12b884b0d8c0d90,2022-06-09T18:01:22.237Z,Rajath#6315,pat.zip (TE Academy)#5266,"Thank you each for individually preparing and hosting session #2 of TE360, reading The meaning of decentralization - Vitalik Buterin with their local community. This makes Token Engineering discipline reach more parts of the world and enriches it with local perspectives!",True,False,False,False,zhiwei#1356,Nuggan#5183,Mettodo#7010,lee0007#8152,2.5,5.0,False,"Thank you each for individually preparing and hosting session #2 of TE360, reading The meaning of decentralization - Vitalik Buterin with their local community. This makes Token Engineering discipline reach more parts of the world and enriches it with local perspectives!"
371,138,629dbc44569ee334a45d495c,2022-06-06T08:35:16.004Z,Costa#7828,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,False,True,missgene#7773,boonjue.eth#7124,EFRA#7972,lee0007#8152,2.25,5.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
439,543,62a6b194a12b884b0d8c18c1,2022-06-13T03:40:04.513Z,bends#3537,freshelle#9882,for mentioning or retweeting TE Commons on the socials last week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,False,False,True,False,missgene#7773,acidlazzer#5796,Tamarandom#9361,Zeptimus#3359,1.33,3.0,False,for mentioning or retweeting TE Commons on the socials last week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼
440,149,629dbc49569ee334a45d49aa,2022-06-06T08:35:21.936Z,Letty#5399,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,False,True,missgene#7773,Nuggan#5183,osycross(🦎🦎)#5943,lee0007#8152,1.5,3.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
442,191,629faca4a12b884b0d8c0bc0,2022-06-07T19:53:08.466Z,withinthevacuum#2626,SatoriD#2945,you can praise in the main thread,True,False,True,True,tigeroid#2951,teaci#6108,EFRA#7972,innov8tor3#3988,0.75,3.0,False,you can praise in the main thread
453,139,629dbc44569ee334a45d4963,2022-06-06T08:35:16.422Z,divine_comedian#5493,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,True,missgene#7773,acidlazzer#5796,Usua◎ Silver#2618,lee0007#8152,1.0,3.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) last week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
