,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,161,62e2d2a350f6e2d7011c0606,2022-07-28T18:17:07.238Z,r-x-x#8344,Zeptimus#3359,for the amazing job on the mastersheet for accounting  and all the great jokes we have on DMs,0,62df13e450f6e2d7011c0284,0,62df13e450f6e2d7011c0284,teaci#6108,Nuggan#5183,Vyvy-vi#5040,Maxwe11#7157,3.53,55.0,False,for the amazing job on the mastersheet for accounting  and all the great jokes we have on DMs
2,184,62e3429950f6e2d7011c0703,2022-07-29T02:14:49.680Z,r-x-x#8344,bear100#9085,for the amazing and detailed work on the creation of an initial accounting system including individual sheets for all the WGs and a master sheet that shows valubale information that will help perform more insightful analysis,0,0,0,62df13e450f6e2d7011c0284,teaci#6108,Nuggan#5183,Vyvy-vi#5040,Maxwe11#7157,7.83,55.0,False,for the amazing and detailed work on the creation of an initial accounting system including individual sheets for all the WGs and a master sheet that shows valubale information that will help perform more insightful analysis
4,142,62e2d11850f6e2d7011c055a,2022-07-28T18:10:32.581Z,r-x-x#8344,GideonRo#3175,for his excellent work on the accounting spreadsheet template for all TEC working groups,0,0,0,62df13e450f6e2d7011c0284,teaci#6108,Nuggan#5183,Vyvy-vi#5040,Maxwe11#7157,6.17,55.0,False,for his excellent work on the accounting spreadsheet template for all TEC working groups
6,78,62e0519c50f6e2d7011c02e1,2022-07-26T20:42:04.465Z,r-x-x#8344,enti#1546,for all the work on the master sheet and standarizing the reporting on the TEC! That seems like a huge amount of work that gives so much insight into our spendings and community,0,62df13e450f6e2d7011c0284,0,62df13e450f6e2d7011c0284,teaci#6108,Nuggan#5183,Vyvy-vi#5040,Maxwe11#7157,5.2,55.0,False,for all the work on the master sheet and standarizing the reporting on the TEC! That seems like a huge amount of work that gives so much insight into our spendings and community
8,114,62e2c25150f6e2d7011c0445,2022-07-28T17:07:29.675Z,pat.zip (TE Academy)#5266,liviade#1387,"for organizing a birthday party for the TE Academy! You bring light, educational and celebratory vibes to the token engineering community!",0,62e1a35950f6e2d7011c03ea,62e1a35950f6e2d7011c03ea,62e1a35950f6e2d7011c03ea,teaci#6108,Nuggan#5183,missgene#7773,Maxwe11#7157,2.32,34.0,False,"for organizing a birthday party for the TE Academy! You bring light, educational and celebratory vibes to the token engineering community!"
13,77,62e0519c50f6e2d7011c02da,2022-07-26T20:42:04.221Z,Zeptimus#3359,enti#1546,for all the work on the master sheet and standarizing the reporting on the TEC! That seems like a huge amount of work that gives so much insight into our spendings and community,0,0,62df164950f6e2d7011c0293,62df164950f6e2d7011c0293,pat.zip (TE Academy)#5266,Nuggan#5183,missgene#7773,PhilH#1102,10.29,34.0,False,for all the work on the master sheet and standarizing the reporting on the TEC! That seems like a huge amount of work that gives so much insight into our spendings and community
15,113,62e2c25150f6e2d7011c043e,2022-07-28T17:07:29.294Z,akrtws (TE Academy)#4246,liviade#1387,"for organizing a birthday party for the TE Academy! You bring light, educational and celebratory vibes to the token engineering community!",0,0,62e1a35950f6e2d7011c03e3,62e1a35950f6e2d7011c03e3,teaci#6108,tigeroid#2951,missgene#7773,PhilH#1102,11.28,34.0,False,"for organizing a birthday party for the TE Academy! You bring light, educational and celebratory vibes to the token engineering community!"
25,182,62e340fc50f6e2d7011c06eb,2022-07-29T02:07:56.756Z,Irem#3362,bear100#9085,"for her great energy and rapid inclusion and involvment into the TEC and Sampo initiatives, specially by providing feedback and contributing in the development of better onboarding processes",0,0,0,62e2d0dc50f6e2d7011c0536,pat.zip (TE Academy)#5266,Nuggan#5183,missgene#7773,Maxwe11#7157,9.95,21.0,False,"for her great energy and rapid inclusion and involvment into the TEC and Sampo initiatives, specially by providing feedback and contributing in the development of better onboarding processes"
33,22,62d5bcbb50f6e2d7011c008c,2022-07-18T20:04:11.277Z,enti#1546,acidlazzer#5796,for the really great work he is doing with the working group leading in Translations TEAM,0,0,62d5bb1550f6e2d7011c0080,0,pat.zip (TE Academy)#5266,Nuggan#5183,missgene#7773,Maxwe11#7157,9.42,21.0,False,for the really great work he is doing with the working group leading in Translations TEAM
39,136,62e2d0bf50f6e2d7011c0517,2022-07-28T18:09:03.423Z,WhyldWanderer#7002,Juankbell#7458,"For supporting the creation of Gravity's project in Giveth, enabling us to continue having multiple funding streams and receive more donations",0,0,62e1931f50f6e2d7011c03cb,62e1931f50f6e2d7011c03cb,teaci#6108,Nuggan#5183,missgene#7773,PhilH#1102,7.8,21.0,False,"For supporting the creation of Gravity's project in Giveth, enabling us to continue having multiple funding streams and receive more donations"
59,159,62e2d24250f6e2d7011c05eb,2022-07-28T18:15:30.091Z,Juankbell#7458,Zeptimus#3359,for a great session on burning out with so many great ideas to make the TEC more healthy place to be.,0,0,0,62e2c21250f6e2d7011c0432,teaci#6108,Nuggan#5183,Vyvy-vi#5040,Maxwe11#7157,2.43,13.0,False,for a great session on burning out with so many great ideas to make the TEC more healthy place to be.
65,50,62d85f2450f6e2d7011c0198,2022-07-20T20:01:40.954Z,enti#1546,laviedefedra#3745,for their help and for welcome me in the translators team,0,0,62d5bb1550f6e2d7011c0080,0,pat.zip (TE Academy)#5266,Nuggan#5183,missgene#7773,Maxwe11#7157,6.17,13.0,False,for their help and for welcome me in the translators team
66,157,62e2d24150f6e2d7011c05dd,2022-07-28T18:15:29.552Z,natesuits#4789,Zeptimus#3359,for a great session on burning out with so many great ideas to make the TEC more healthy place to be.,0,0,0,62e2c21150f6e2d7011c042b,teaci#6108,tigeroid#2951,missgene#7773,Maxwe11#7157,6.06,13.0,False,for a great session on burning out with so many great ideas to make the TEC more healthy place to be.
