name,address,vested_amount
kristofer,0xa32aECda752cF4EF89956e83d60C04835d4FA867,132.7247256
griff,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,81.1089854
mattyg,0x182312C44a219fD492F3aE177D11120a3CcD2EF3,78.56192737
tamara,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,77.08122048
sourcecred,,48.904497
liviade,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,43.8182589
divine-comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,41.54229939
marthendalnunes,,40.53334939
zeptimus,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,39.8778754
pkrepe,,35.38965723
sem,0x970f31FfC1429c75B0bc56c42e92a58198E858cf,33.72442919
vyvy-vi,0x2fA130927814B590623031e846f059df9554FdDe,30.80916266
nuggan,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,30.1243908
tecparamsbot,,29.60109832
jessicazartler,0xb2821C0DF0c414ff51D3e8033CBA26DF6AaC587b,28.28246093
juankbell,0x7d547666209755FB833f9B37EebEa38eBF513Abb,23.74398894
markop,0xF27838B0c3bA2eEe13B6eD3Fe13a90ef7b57a2cc,23.72253093
nebs-dev,0x16E26789b4052815d450043A637b368bfB3ea63A,19.749549
eduardovegap,0x1d921dff757610FbDB0073479e12c0a07d382677,19.67524941
iviangita,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,17.9373942
mendesfabio,0xE64F06F695De4C4E21BA8F383a2675Fd884Ac720,17.8622487
chuygarcia92,0xB22981bA3FE1De2325935c91a3B717168fB86714,16.73401292
kevinknielsen,,15.13435717
ygg-anderson,0x763d7D362B59aeA3858a92a302e18cd41b1252d4,14.29499521
mount-manu,0xa2ef65aEcecb83cd1bD3579A8669779099317952,13.23651789
natesuits,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,12.90553219
freedumbs00,,11.66069739
gideonro,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,11.23865966
santigs,0x9194b1713A8E07Bc47B90Fb7937E28e09b6cd100,11.16109055
natenatesoo,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,9.344160235
pmespresso,,8.31151429
suga,0x2fEe53687906bA239602eD42CCEee2aC8A4ADa36,8.083623604
fabriziovigevani,,7.158117998
hernandoagf,,7.093859661
rperez89,,6.853311062
jeffemmett,0x778549Eb292AC98A96a05E122967f22eFA003707,6.437259074
laurenluz,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,6.269175543
ddan,0x94860EA6872d863E91f3Ce3f8cF574Ef0859620b,5.977046196
pjcolombo,,5.863223838
mateo-daza,0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C,5.779251572
angeldebenji,,5.776546914
tylerboardroom,,5.654709181
tonga,0x6F4A8930Ef9C175eC0F3F63A97686d5c505e0E32,5.583181287
solsista,0x949Bba9F1C13F2461835366AEBcb53c852dd4308,5.294600263
zxqx,,5.090240087
crisog,,4.862246723
akrtws,0x852B8763ECB27bEdDC190d1792029bc17FD5439a,4.597237539
sudheerdev,,4.562267325
cranders1,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,3.795387782
hurek,,3.711072728
blazingthirdeye,,3.82360415
jds3d,,3.498296737
linuxiscool,0x763d7D362B59aeA3858a92a302e18cd41b1252d4,3.493917466
willjgriff,,3.443506182
graial,0x05a45e7416C77C822e24e9679af29D1f07589b40,3.418053616
mrsbadgerface,0x8041748a2A16e9B7A3980107f4376774421642c8,4.02839295
tree-pi,0x1f83A7b86480E6142A85558Ef6999f6091041906,2.953550941
gene,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,2.780448235
vivianedias,,2.669695766
yarode,,2.65352393
octopus,0x77d40c87D423eFb7ec576e80998A48377Adf86dF,2.647123307
wslyvh,0x8289432ACD5EB0214B1C2526A5EDB480Aa06A9ab,2.543065295
al0ysi0us,0x1c1BFC1763C8E88FcccE1B57eEfc79a461FA4944,3.088354662
maghaali,,2.271676002
hozzjss,0xC19A8A1E9f2059138A3D11a7335FD215694e088a,2.071069572
heater,0x57F540a736a647EF2d2Ef9Cd823C4a4e655858a4,2.069172785
nickmartitsch,,2.05620635
innov8tor3,0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253,1.881215245
vercel,,1.870463012
mzargham,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,2.440315593
big-gray-al,0x05a45e7416C77C822e24e9679af29D1f07589b40,1.845397412
naomi-lgbt,,1.842804921
paulo-,,1.789433075
netlify,,1.774912616
costa,0x741670C5085Da689944FAA9543E9aB610a00A06d,1.761118933
rosamoc,,1.724654668
cfwhisperer,0x457Ea659aAAbD496550264c6d9d6351666f2fB4b,1.681635916
metaverde,0x8Aac40061E258d6e45Fd13E214710ABDF356285a,1.678988941
evalir,,1.633453419
durgadas,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,1.626741935
anthonyoliai,,1.604543112
tangbaifeng,,1.591015626
letty,0x66D9dfddC3AD45d6383D5B9e9354F60Bc9D16A8e,1.529422309
tannr,,1.506688322
kojak,0xe3181f4596509af72d684D89947DF309f41F65FF,1.463224818
krisjpi,0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,1.44775582
acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,2.621435596
daithi,,1.418284511
bends,0x1E975f53956d644868F3eA25690b1bbEda658565,1.414985517
witwiki,,1.42906738
patriacaelum,,1.384116919
famole,,1.347571859
sbilbao,,1.30306964
enti,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,1.268240215
drllau,,1.620427469
hbesso31,,1.16315314
knobsdao,0x301605C95acbED7A1fD9C2c0DeEe964e2AFBd0C3,1.149577795
mrmadila,,1.140706078
freshelle,0x38f80f8f76B1C44B2beeFB63bb561F570fb6ddB6,1.118843932
zhiwei,0x1f83A7b86480E6142A85558Ef6999f6091041906,1.088113334
mcsmith89,0x95660B8f62B6372bb8A821872BF957922dE1fe89,1.08491958
0xgabi,,1.039327156
bradleyc,,1.02881534
thefredo1000,0x29FFeBCa51ecD940cb37EF91ff83cD739553b93e,0.9926281174
philh,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,1.238044377
felixbbertrand,,0.9835205976
monstrosity,,0.9663144828
gabi,,0.9424955287
mertozdal,0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff,1.111719661
santteegt,0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,0.905194895
