"ID","DATE","TO USER ACCOUNT","TO USER ACCOUNT ID","TO ETH ADDRESS","FROM USER ACCOUNT","FROM USER ACCOUNT ID","FROM ETH ADDRESS","REASON","SOURCE ID","SOURCE NAME","SCORE 1","SCORE 2","SCORE 3","SCORE 4","DUPLICATE ID 1","DUPLICATE ID 2","DUPLICATE ID 3","DUPLICATE ID 4","DISMISSED 1","DISMISSED 2","DISMISSED 3","DISMISSED 4","QUANTIFIER 1 USERNAME","QUANTIFIER 1 ETH ADDRESS","QUANTIFIER 2 USERNAME","QUANTIFIER 2 ETH ADDRESS","QUANTIFIER 3 USERNAME","QUANTIFIER 3 ETH ADDRESS","QUANTIFIER 4 USERNAME","QUANTIFIER 4 ETH ADDRESS","AVG SCORE"
"6331c4b27513583493d90151","2022-09-26T15:26:42.469Z","Mount Manu#3530","621f79cf95a79aa51435b361","0xa2ef65aEcecb83cd1bD3579A8669779099317952","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","for hosting the marketing weekly sync","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",5,8,3,8,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2",6
"6331c4ba7513583493d90160","2022-09-26T15:26:50.024Z","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","Mount Manu#3530","621f79cf95a79aa51435b361","0xa2ef65aEcecb83cd1bD3579A8669779099317952","for attending the weekly Marketing sync where we went over the initiative to restructure the Comms WG, new budget numbers, and management of contributions","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,3,1,3,,,,,false,false,false,false,"PhilH#1102","0xAa01DeC5307CF17F20881A3286dcaA062578cea7","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677",2.5
"6331e09d7513583493d9016f","2022-09-26T17:25:49.165Z","Mount Manu#3530","621f79cf95a79aa51435b361","0xa2ef65aEcecb83cd1bD3579A8669779099317952","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","for attending the animation weekly sync where we share our advances and talk about the next steps for the quantify video","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,3,1,3,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2",2.5
"6331e09d7513583493d90176","2022-09-26T17:25:49.422Z","acidlazzer#5796","621f79d095a79aa51435b5c8","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","for attending the animation weekly sync where we share our advances and talk about the next steps for the quantify video","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,1,1,3,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677",1.67
"6331e09d7513583493d9017d","2022-09-26T17:25:49.989Z","alantv#0964","621f79df95a79aa51435f15b","0x1e655FeEc2767b4c6409CCfFA76d7560da11F2cb","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","for attending the animation weekly sync where we share our advances and talk about the next steps for the quantify video","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,3,1,1,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2",2
"6331e09e7513583493d90184","2022-09-26T17:25:50.344Z","elzenteno#1251","632a97f4cf1027b348bc2403","0xE77E4c796FAeDEe124A490A2F02Ab17be383FbeD","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","for attending the animation weekly sync where we share our advances and talk about the next steps for the quantify video","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,3,1,1,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2",2
"6331e0dc7513583493d90193","2022-09-26T17:26:52.847Z","miguelb#5176","621f79df95a79aa51435eeaa","0x7311b7bf2f004b8070efAf4A130348EEB18EF369","acidlazzer#5796","621f79d095a79aa51435b5c8","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","for hosting the animation weekly sync and reviewing the advances and future steps","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",13,8,8,3,,,,,false,false,false,false,"PhilH#1102","0xAa01DeC5307CF17F20881A3286dcaA062578cea7","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677",8
"633201287513583493d901a2","2022-09-26T19:44:40.934Z","r-x-x#8344","62719c82d6f46f43ffe0ce96","0x1409a9ef3450D5d50aAd004f417436e772FbF8fC","Nuggan#5183","621f79d095a79aa51435b634","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","for his research into the TEC payout distribution!","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",21,5,34,13,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677",18.25
"633201437513583493d901b1","2022-09-26T19:45:07.381Z","mateodaza#3156","621f79cf95a79aa51435b3ff","0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C","Nuggan#5183","621f79d095a79aa51435b634","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","for his beast work in the advanced ABC info page","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",13,21,13,21,,,,,false,false,false,false,"acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677",17
"633236f17513583493d901c0","2022-09-26T23:34:09.288Z","divine_comedian#5493","621f79cf95a79aa51435b4cc","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2","Mert Ozd#6679","621f79dd95a79aa51435e276","0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff","for helping me to learn new skills and continously add value to his surronding.","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",13,8,13,21,,,,,false,false,false,false,"PhilH#1102","0xAa01DeC5307CF17F20881A3286dcaA062578cea7","Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677",13.75
