,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,DISMISSAL AGREED,ORIGINAL MSG
92,621f79e143b89009366c87ad,2021-08-05T22:00:00.000Z,natesuits#4789,iviangita#3204,for finally making it back home from Paris,False,True,True,innov8tor3#3988,Parrachia#0450,calazki#3961,0.33,False,for finally making it back home from Paris
93,621f79e143b89009366c87ae,2021-08-05T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for finally making it back home from Paris,False,False,True,AmwFund#0979,Mount Manu#3530,calazki#3961,2.67,False,for finally making it back home from Paris
108,621f79e143b89009366c87bd,2021-08-05T22:00:00.000Z,iviangita#3204,iviangita#3204,for all the work she’s doing for Twitter and sharing around the Hatch SWAGTEC token,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,6.0,False,for all the work she’s doing for Twitter and sharing around the Hatch SWAGTEC token
109,621f79e143b89009366c87be,2021-08-05T22:00:00.000Z,markop#2007,iviangita#3204,for the new figma design for the Commons Config Dashboard,False,True,False,AmwFund#0979,Parrachia#0450,Usua◎ Silver#2618,8.67,False,for the new figma design for the Commons Config Dashboard
119,621f79e143b89009366c87c8,2021-08-05T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking a well-deserved vacation and holidays,True,False,False,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,3.0,False,for taking a well-deserved vacation and holidays
120,621f79e143b89009366c87c9,2021-08-05T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for finally making it home,False,False,True,AmwFund#0979,Mount Manu#3530,calazki#3961,1.77,False,for finally making it home
125,621f79e143b89009366c87ce,2021-08-05T22:00:00.000Z,natesuits#4789,iviangita#3204,for meeting Eduardo in person,False,True,False,innov8tor3#3988,Parrachia#0450,calazki#3961,2.0,False,for meeting Eduardo in person
134,621f79e143b89009366c87d7,2021-08-05T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking vacation and taking her time off seriously,True,False,False,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,1.33,False,for taking vacation and taking her time off seriously
204,621f79e143b89009366c881d,2021-08-05T22:00:00.000Z,Zeptimus#3359,Mount Manu#3530,"for staying in the Giveth house (and keeping it clean, just like they found it)",False,False,True,AmwFund#0979,Mount Manu#3530,calazki#3961,4.33,False,"for staying in the Giveth house (and keeping it clean, just like they found it)"
206,621f79e143b89009366c881f,2021-08-05T22:00:00.000Z,Juankbell#7458,Mount Manu#3530,"for staying in the Giveth house (and keeping it clean, just like they found it)",True,False,False,eduardovegap#0422,Mount Manu#3530,kristofer#1475,2.0,False,"for staying in the Giveth house (and keeping it clean, just like they found it)"
217,621f79e143b89009366c8832,2021-08-05T22:00:00.000Z,iviangita#3204,iviangita#3204,for attending the Legal WG meeting,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,0.67,False,for attending the Legal WG meeting
220,621f79e143b89009366c8835,2021-08-05T22:00:00.000Z,Juankbell#7458,iviangita#3204,for attending the Legal WG meeting,False,False,True,eduardovegap#0422,Mount Manu#3530,kristofer#1475,1.33,False,for attending the Legal WG meeting
224,621f79e143b89009366c8839,2021-08-05T22:00:00.000Z,iviangita#3204,iviangita#3204,for attending the Legal WG meeting,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,0.07,False,for attending the Legal WG meeting
229,621f79e143b89009366c883f,2021-08-05T22:00:00.000Z,Ekeneodigwe#1502,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,acidlazzer#5796,Usua◎ Silver#2618,1.33,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
232,621f79e143b89009366c8842,2021-08-05T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,Parrachia#0450,divine_comedian#5493,0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
237,621f79e143b89009366c8847,2021-08-05T22:00:00.000Z,Juankbell#7458,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,Mount Manu#3530,kristofer#1475,3.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
238,621f79e143b89009366c8848,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,7.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
283,621f79e243b89009366c88f5,2021-08-11T22:00:00.000Z,karmaticacid#1218,karmaticacid#1218,for awesome hatch memes,True,False,False,innov8tor3#3988,acidlazzer#5796,bends#3537,2.67,False,for awesome hatch memes
