index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
55,6388eb254287630828df013b,2022-12-01T17:57:57.032Z,kristofer#1475,Tamarandom#9361,for being a genius! An absolute genius. But I can't say why yet.,5,13,1,89,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,27.0,88
23,637e26ad4287630828deffc3,2022-11-23T13:57:01.552Z,r-x-x#8344,kristofer#1475,"for rolling up the sleeves and doing some long overdue cleanup amongs passwords, authentication tokens, admin roles etc.. !",5,13,13,89,,637beb984287630828defefb,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,27.07,84
19,637d16a94287630828deff8d,2022-11-22T18:36:25.135Z,r-x-x#8344,Tamarandom#9361,for thinking deeply about how to reorganize our Discord to be easier to navigate and beign more aligned to the direction of the org transformation. You've put so much effort into this and it shows.,8,21,13,89,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,32.75,81
3,637be9ab4287630828defeec,2022-11-21T21:12:11.440Z,GideonRo#3175,liviade#1387,for a smooth 3 hours session to finish the TEC transition proposal and understand all the holes that need to be addressed in the TEC 🙏,5,0,13,55,637be97a4287630828defedd,,637be97a4287630828defedd,637be97a4287630828defedd,False,True,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,1.82,55
31,6380b34d4287630828df0028,2022-11-25T12:21:33.034Z,r-x-x#8344,innov8tor3#3988,"for amazing support right across TEC, and for many working groups, including the one I most understand, Gravity. This is hugely clarifying work going on.",5,13,21,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,23.5,50
46,6387ba7b4287630828df00d2,2022-11-30T20:18:03.103Z,Vicky_P#3446,solsista#5370,for gathering around Design spec and wireframes of TE Consilience Library and naturally generating revenue sharing ideas that build on Imaginarium Creative Flow content,5,8,21,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,22.25,50
42,6387a8f84287630828df00a5,2022-11-30T19:03:20.684Z,BiancaGadelha#2667,innov8tor3#3988,"for steering the immediate needs of Gravity, allowing Juan to step back a bit to take some time thinking through next steps for Gravity. Yay Bianca!",5,21,21,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,25.5,50
17,637c02974287630828deff6f,2022-11-21T22:58:31.273Z,natesuits#4789,r-x-x#8344,"for his proactivity, helping out with establishing the base standard out of which to manage credentials",5,8,8,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,19.0,50
16,637c02784287630828deff60,2022-11-21T22:58:00.183Z,durgadas#9280,r-x-x#8344,"for his wisdom, support, ideas and help in the credentials management process",5,8,5,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,18.25,50
43,6387a9884287630828df00b4,2022-11-30T19:05:44.834Z,durgadas#9280,innov8tor3#3988,"for his courage coming forward and delivering a complex course to a group of unknown folks, and being in control enough to answer questions and stick to the plan and timescales",5,34,13,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,26.75,50
44,6387ba784287630828df00c3,2022-11-30T20:18:00.470Z,Denis Kudinov#9269,solsista#5370,for gathering around Design spec and wireframes of TE Consilience Library and naturally generating revenue sharing ideas that build on Imaginarium Creative Flow content,5,8,21,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,22.25,50
45,6387ba7a4287630828df00cb,2022-11-30T20:18:02.403Z,Jeanne#8780,solsista#5370,for gathering around Design spec and wireframes of TE Consilience Library and naturally generating revenue sharing ideas that build on Imaginarium Creative Flow content,5,8,21,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,22.25,50
48,638894764287630828df00ea,2022-12-01T11:48:06.594Z,solsista#5370,Jeanne#8780,"for holding to the Consilience Library vision and working on its implementation,  You right @solsista 🤩",5,21,21,55,,,,,False,False,False,False,miguelb#5176,PhilH#1102,Tamarandom#9361,r33pich33p#6906,25.5,50
