,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
2,65,639b6d0c4287630828df04a6,2022-12-15T18:53:00.272Z,mateodaza#3156,Tamarandom#9361,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!,639ae1d24287630828df03ce,0.0,639a1a744287630828df0372,639a1a744287630828df0372,pat.zip (TE Academy)#5266,r33pich33p#6906,innov8tor3#3988,miguelb#5176,26.9,144,False,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!
3,59,639b5d7e4287630828df0463,2022-12-15T17:46:38.216Z,mateodaza#3156,acidlazzer#5796,for the new TEC´s ABC advanced page! It looks amazing,639ae1d24287630828df03ce,0.0,639a1a744287630828df0372,639a1a744287630828df0372,pat.zip (TE Academy)#5266,r33pich33p#6906,innov8tor3#3988,miguelb#5176,26.9,144,False,for the new TEC´s ABC advanced page! It looks amazing
4,41,639a1a744287630828df0372,2022-12-14T18:48:20.434Z,mateodaza#3156,Zeptimus#3359,for the deployment of the ABC advanced page. Looks so cool!!,639ae1d24287630828df03ce,0.0,0,0,pat.zip (TE Academy)#5266,r33pich33p#6906,innov8tor3#3988,miguelb#5176,36.35,144,False,for the deployment of the ABC advanced page. Looks so cool!!
5,53,639aff404287630828df0421,2022-12-15T11:04:32.184Z,r-x-x#8344,Tamarandom#9361,constantly improving our Discord experience - the regoganization of our channels and role selection. You've done and are doing such terrific work.,0,0.0,63902d514287630828df01c0,0,pat.zip (TE Academy)#5266,r33pich33p#6906,innov8tor3#3988,miguelb#5176,30.35,89,False,constantly improving our Discord experience - the regoganization of our channels and role selection. You've done and are doing such terrific work.
6,54,639b3a004287630828df0430,2022-12-15T15:15:12.205Z,r-x-x#8344,divine_comedian#5493,"for taking the time to propose a well thought out proposal for changing the way we distribute rewards to contributors and non-contributors, it was a great proposal and I am always inspired by his eagerness to create technical, anayltics driven solutions",0,0.0,639ae3304287630828df0403,0,pat.zip (TE Academy)#5266,r33pich33p#6906,innov8tor3#3988,miguelb#5176,33.6,89,False,"for taking the time to propose a well thought out proposal for changing the way we distribute rewards to contributors and non-contributors, it was a great proposal and I am always inspired by his eagerness to create technical, anayltics driven solutions"
10,66,639b6d0c4287630828df04ad,2022-12-15T18:53:00.486Z,Nuggan#5183,Tamarandom#9361,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!,639b5d7e4287630828df046a,0.0,639b5d7e4287630828df046a,0,r-x-x#8344,r33pich33p#6906,innov8tor3#3988,miguelb#5176,28.88,89,False,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!
12,14,63911f5f4287630828df0229,2022-12-07T23:18:55.685Z,durgadas#9280,BiancaGadelha#2667,for all the async work you do for Gravity and for being amazing contributors that don’t drop the ball and keep it moving 💜,0,0.0,0,6390ba424287630828df0204,pat.zip (TE Academy)#5266,r33pich33p#6906,hanners717#2022,shawn#7046,18.45,55,False,for all the async work you do for Gravity and for being amazing contributors that don’t drop the ball and keep it moving 💜
13,73,639cedc84287630828df050f,2022-12-16T22:14:32.034Z,GideonRo#3175,r-x-x#8344,for their drive in fleshing out a roadmap for the TEC for the next year,0,0.0,63996b6a4287630828df0345,0,pat.zip (TE Academy)#5266,eduardovegap#0422,innov8tor3#3988,miguelb#5176,7.88,55,False,for their drive in fleshing out a roadmap for the TEC for the next year
15,64,639b6d0c4287630828df049f,2022-12-15T18:53:00.030Z,Zeptimus#3359,Tamarandom#9361,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!,639a1a734287630828df0363,0.0,0,639a1a734287630828df0363,r-x-x#8344,r33pich33p#6906,hanners717#2022,shawn#7046,17.52,55,False,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!
17,49,639ae2194287630828df03ed,2022-12-15T09:00:09.043Z,Zeptimus#3359,kristofer#1475,for PMing the new convert dashboard - https://convert.tecommons.org/,639a1a734287630828df0363,0.0,639a1a734287630828df0363,639a1a734287630828df0363,r-x-x#8344,r33pich33p#6906,hanners717#2022,shawn#7046,14.6,55,False,for PMing the new convert dashboard - https://convert.tecommons.org/
19,33,6397e1ab4287630828df02f9,2022-12-13T02:21:31.746Z,r-x-x#8344,ygg_anderson#4998,For pushing the TEC library proposal forward.,0,0.0,0,639b3a004287630828df0430,pat.zip (TE Academy)#5266,r33pich33p#6906,innov8tor3#3988,miguelb#5176,19.2,55,False,For pushing the TEC library proposal forward.
20,58,639b5d7d4287630828df045c,2022-12-15T17:46:37.947Z,Zeptimus#3359,acidlazzer#5796,for the new TEC´s ABC advanced page! It looks amazing,639a1a734287630828df0363,0.0,639b6d0c4287630828df049f,639a1a734287630828df0363,r-x-x#8344,r33pich33p#6906,hanners717#2022,shawn#7046,14.6,55,False,for the new TEC´s ABC advanced page! It looks amazing
29,48,639ae2014287630828df03dd,2022-12-15T08:59:45.782Z,Rodricast#1415,kristofer#1475,for designing the new convert dashboard - https://convert.tecommons.org/,639a1a954287630828df0381,0.0,639a1a954287630828df0381,639a1a954287630828df0381,r-x-x#8344,eduardovegap#0422,hanners717#2022,shawn#7046,3.9,34,False,for designing the new convert dashboard - https://convert.tecommons.org/
32,61,639b5d804287630828df0471,2022-12-15T17:46:40.074Z,Rodricast#1415,acidlazzer#5796,for the new TEC´s ABC advanced page! It looks amazing,639a1a954287630828df0381,0.0,639a1a954287630828df0381,639a1a954287630828df0381,r-x-x#8344,eduardovegap#0422,hanners717#2022,shawn#7046,3.9,34,False,for the new TEC´s ABC advanced page! It looks amazing
36,67,639b6d0d4287630828df04b4,2022-12-15T18:53:01.208Z,Rodricast#1415,Tamarandom#9361,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!,639a1a954287630828df0381,0.0,639a1a954287630828df0381,639a1a954287630828df0381,r-x-x#8344,eduardovegap#0422,hanners717#2022,shawn#7046,3.9,34,False,for the ABC advanced page. I spent some time on it today and really love how clear and informed it is!
38,69,639b7e6c4287630828df04d3,2022-12-15T20:07:08.960Z,Tamarandom#9361,acidlazzer#5796,for hosting and organizing an awesome twitter space about the highlights os this year in TEC and celebrating the 100th community call!!!,639b7dcd4287630828df04c4,0.0,639b7dcd4287630828df04c4,639b7dcd4287630828df04c4,pat.zip (TE Academy)#5266,eduardovegap#0422,innov8tor3#3988,shawn#7046,3.58,34,False,for hosting and organizing an awesome twitter space about the highlights os this year in TEC and celebrating the 100th community call!!!
40,78,639cf0d54287630828df0552,2022-12-16T22:27:33.253Z,Tamarandom#9361,divine_comedian#5493,for hosting a great twitter session for the TECs 100th community call!,639b7dcd4287630828df04c4,0.0,639b7dcd4287630828df04c4,639b7dcd4287630828df04c4,pat.zip (TE Academy)#5266,eduardovegap#0422,innov8tor3#3988,shawn#7046,3.58,34,False,for hosting a great twitter session for the TECs 100th community call!
49,71,639b90364287630828df04f1,2022-12-15T21:23:02.969Z,acidlazzer#5796,"Griff (💜,💜)#8888",for making a great poap for our 100th community call!,639b6c254287630828df0481,0.0,0,639b6c254287630828df0481,r-x-x#8344,eduardovegap#0422,hanners717#2022,shawn#7046,6.85,21,False,for making a great poap for our 100th community call!
79,16,63911f604287630828df0237,2022-12-07T23:18:56.141Z,ddan#2489,BiancaGadelha#2667,for all the async work you do for Gravity and for being amazing contributors that don’t drop the ball and keep it moving 💜,0,0.0,0,6390ba434287630828df0213,r-x-x#8344,eduardovegap#0422,hanners717#2022,shawn#7046,4.7,8,False,for all the async work you do for Gravity and for being amazing contributors that don’t drop the ball and keep it moving 💜
