index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,SCORE 5,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DUPLICATE ID 5,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,DISMISSED 5,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,QUANTIFIER 5 USERNAME,AVG SCORE,SPREAD
12,63a39cbd4287630828df0626,2022-12-21T23:54:37.908Z,Vyvy-vi#5040,pat.zip (TE Academy)#5266,"for building the praise bot that includes sending DMs for important reminders, for example for quantifiers to quantify",13,21,21,55,5,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,23.0,50
19,63a5bf3f4287630828df0681,2022-12-23T14:46:23.340Z,pat.zip (TE Academy)#5266,divine_comedian#5493,"for the amazing and constant community work they are doing in the Token Engineering Academy! So much stuff happening all the time, it's really great to see.",21,13,8,55,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,21.0,47
18,63a5bf3e4287630828df067a,2022-12-23T14:46:22.801Z,angieberry.eth#9822,divine_comedian#5493,"for the amazing and constant community work they are doing in the Token Engineering Academy! So much stuff happening all the time, it's really great to see.",13,13,8,55,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,19.4,47
17,63a5bf3e4287630828df0673,2022-12-23T14:46:22.171Z,🐙 octopus#5508,divine_comedian#5493,"for the amazing and constant community work they are doing in the Token Engineering Academy! So much stuff happening all the time, it's really great to see.",21,13,8,55,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,21.0,47
16,63a5bf3d4287630828df066c,2022-12-23T14:46:21.012Z,akrtws (TE Academy)#4246,divine_comedian#5493,"for the amazing and constant community work they are doing in the Token Engineering Academy! So much stuff happening all the time, it's really great to see.",21,21,8,55,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,22.6,47
6,63a246144287630828df05e3,2022-12-20T23:32:36.572Z,SatoriD#2945,Mert Ozd#6679,"for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.",8,21,21,55,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,22.6,47
7,63a246144287630828df05ea,2022-12-20T23:32:36.992Z,solsista#5370,Mert Ozd#6679,"for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.",8,8,21,55,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,21.0,47
8,63a246154287630828df05f1,2022-12-20T23:32:37.316Z,Jolly LaMa#5962,Mert Ozd#6679,"for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.",8,8,21,55,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,21.0,47
9,63a246154287630828df05f9,2022-12-20T23:32:37.783Z,Letty#5399,Mert Ozd#6679,"for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.",8,8,21,55,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,20.0,47
15,63a55a5c4287630828df065d,2022-12-23T07:35:56.295Z,divine_comedian#5493,innov8tor3#3988,"for the dedication he shows to the rewards scheme, making sure praise raters show up regularly to allocate praise scores. I hope he's getting some great insight from this and can in time use it more widely on behalf of TEC",13,55,21,55,21,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,33.0,42
