,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DUPLICATION AGREED,ORIGINAL MSG
23,621f79e243b89009366c8ce8,2021-09-01T22:00:00.000Z,VitorNunes#0090,divine_comedian#5493,for their brazilian hacking skills on the CCD,621f79e243b89009366c8fbb,0,0,0,lee0007#8152,Vyvy-vi#5040,teaci#6108,Usua◎ Silver#2618,15.85,False,for their brazilian hacking skills on the CCD
44,621f79e243b89009366c8cfd,2021-09-02T22:00:00.000Z,Tam2140#9361,iviangita#3204,for the incredible Stewards meeting and being able to finish the call on time,621f79e243b89009366c8ce1,0,0,621f79e243b89009366c8ce1,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Sha#6179,3.7,False,for the incredible Stewards meeting and being able to finish the call on time
61,621f79e243b89009366c8d0e,2021-09-02T22:00:00.000Z,liviade#1387,iviangita#3204,for being on vacation somewhere in Brazil,621f79e243b89009366c8d03,621f79e243b89009366c8d03,0,0,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0.35,False,for being on vacation somewhere in Brazil
73,621f79e243b89009366c8d1a,2021-09-02T22:00:00.000Z,nic#9212,iviangita#3204,for totally taking over the orientation this week,0,0,621f79e243b89009366c8cd3,0,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,4.2,False,for totally taking over the orientation this week
74,621f79e243b89009366c8d1b,2021-09-02T22:00:00.000Z,anna-marie#8824,iviangita#3204,for totally taking over the orientation this week,621f79e243b89009366c8cd2,0,0,0,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,9.82,False,for totally taking over the orientation this week
75,621f79e243b89009366c8d1c,2021-09-02T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for their ninja skills and hacking on the CCD development,621f79e243b89009366c8fbb,0,0,0,lee0007#8152,Vyvy-vi#5040,teaci#6108,Usua◎ Silver#2618,9.35,False,for their ninja skills and hacking on the CCD development
76,621f79e243b89009366c8d1d,2021-09-02T22:00:00.000Z,pKrepe#5682,iviangita#3204,for their ninja skills and hacking on the CCD development,621f79e243b89009366c8cea,0,0,0,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6.88,False,for their ninja skills and hacking on the CCD development
77,621f79e243b89009366c8d1e,2021-09-02T22:00:00.000Z,fabiomendes#4802,iviangita#3204,for their ninja skills and hacking on the CCD development,0,621f79e243b89009366c8ce9,621f79e243b89009366c8ce9,0,Mount Manu#3530,AmwFund#0979,Maxwe11#7157,Nuggan#5183,19.13,False,for their ninja skills and hacking on the CCD development
78,621f79e243b89009366c8d1f,2021-09-02T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for the excellent job on the narratives making the dashboard more concise,0,0,621f79e243b89009366c8cf5,0,innov8tor3#3988,liviade#1387,Maxwe11#7157,hanners717#2022,9.97,False,for the excellent job on the narratives making the dashboard more concise
126,621f79e243b89009366c8d5a,2021-09-02T22:00:00.000Z,anna-marie#8824,Mettodo#7010,for leading the review of TEC agreements,621f79e243b89009366c8cd8,0,0,0,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,7.7,False,for leading the review of TEC agreements
153,621f79e243b89009366c8d75,2021-09-02T22:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for all their work in Params,0,0,621f79e243b89009366c8d01,0,innov8tor3#3988,liviade#1387,Maxwe11#7157,hanners717#2022,12.22,False,for all their work in Params
154,621f79e243b89009366c8d76,2021-09-02T22:00:00.000Z,liviade#1387,Mount Manu#3530,for taking some vacations,621f79e243b89009366c8d03,621f79e243b89009366c8d03,0,0,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0.35,False,for taking some vacations
163,621f79e243b89009366c8d7f,2021-09-02T22:00:00.000Z,VitorNunes#0090,Mount Manu#3530,for improving the dashboard,621f79e243b89009366c8fbb,0,0,0,lee0007#8152,Vyvy-vi#5040,teaci#6108,Usua◎ Silver#2618,9.35,False,for improving the dashboard
164,621f79e243b89009366c8d80,2021-09-02T22:00:00.000Z,fabiomendes#4802,Mount Manu#3530,for improving the dashboard,0,621f79e243b89009366c8ce9,621f79e243b89009366c8ce9,0,Mount Manu#3530,AmwFund#0979,Maxwe11#7157,Nuggan#5183,10.13,False,for improving the dashboard
