,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,24,64beb0e0ba8318f4ee943bae,2023-07-24T17:12:00.531000Z,akrtws#4246,Isaac (enti)#1546,for putting together the first TE Barcamp as a ETHCC side event!,0,64beb098ba8318f4ee9436c1,64beb0bcba8318f4ee9439fc,acidlazzer,zeptimus,natesuits,1.66666666666667,144.0,False,for putting together the first TE Barcamp as a ETHCC side event!
1,30,64beb112ba8318f4ee943fcc,2023-07-24T17:12:50.588000Z,akrtws#4246,liviade#1387,"for organizing the TE track at ETHCC with such informative talks, it was the fullest room of the conference all day!",0,64beb098ba8318f4ee9436c1,64beb0bcba8318f4ee9439fc,acidlazzer,zeptimus,natesuits,1.66666666666667,144.0,False,"for organizing the TE track at ETHCC with such informative talks, it was the fullest room of the conference all day!"
2,19,64beb0bcba8318f4ee9439fc,2023-07-24T17:11:24.239000Z,akrtws#4246,Isaac (enti)#1546,for pulling a full track of TE at ETHCC together!!,0,64beb098ba8318f4ee9436c1,0,acidlazzer,zeptimus,natesuits,20.0,144.0,False,for pulling a full track of TE at ETHCC together!!
3,25,64beb0e2ba8318f4ee943c9e,2023-07-24T17:12:02.582000Z,akrtws#4246,liviade#1387,for the TE Barcamp they put together in Paris. It was a truly inspiring experience to learn in a classroom with such amazing mentors,0,64beb098ba8318f4ee9436c1,64beb0bcba8318f4ee9439fc,acidlazzer,zeptimus,natesuits,1.66666666666667,144.0,False,for the TE Barcamp they put together in Paris. It was a truly inspiring experience to learn in a classroom with such amazing mentors
7,12,64beb094ba8318f4ee94359a,2023-07-24T17:10:44.449000Z,liviade#1387,bear100#9085,for their great presentations at ETHCC and the TEBarcamp,64beb02aba8318f4ee942f10,64beb02aba8318f4ee942f10,0,makkiyzy,divine_comedian,r33pich33p,4.33333333333333,89.0,False,for their great presentations at ETHCC and the TEBarcamp
8,3,64beb059ba8318f4ee943164,2023-07-24T17:09:45.120000Z,liviade#1387,Isaac (enti)#1546,"for two amazing talks at ETH Barcelona and ETHCC on the stakeholder study, really enjoyed watching them!!",64beb02aba8318f4ee942f10,64beb02aba8318f4ee942f10,0,makkiyzy,divine_comedian,r33pich33p,4.33333333333333,89.0,False,"for two amazing talks at ETH Barcelona and ETHCC on the stakeholder study, really enjoyed watching them!!"
9,17,64beb09dba8318f4ee943857,2023-07-24T17:10:53.025000Z,0xr3x,Isaac (enti)#1546,for presenting about the TEC and the Bonding Curve Research Group at ETHCC,64beb094ba8318f4ee94359d,64beb094ba8318f4ee94359d,0,makkiyzy,divine_comedian,pat.zip_te_academy,0.0,89.0,False,for presenting about the TEC and the Bonding Curve Research Group at ETHCC
11,26,64beb0e2ba8318f4ee943c9f,2023-07-24T17:12:02.583000Z,pat.zip (TE Academy)#5266,liviade#1387,for the TE Barcamp they put together in Paris. It was a truly inspiring experience to learn in a classroom with such amazing mentors,0,64beb098ba8318f4ee9436c2,64beb098ba8318f4ee9436c2,makkiyzy,zeptimus,natesuits,4.33333333333333,55.0,False,for the TE Barcamp they put together in Paris. It was a truly inspiring experience to learn in a classroom with such amazing mentors
13,23,64beb0e0ba8318f4ee943baf,2023-07-24T17:12:00.531000Z,pat.zip (TE Academy)#5266,Isaac (enti)#1546,for putting together the first TE Barcamp as a ETHCC side event!,64beb0bcba8318f4ee9439fd,64beb098ba8318f4ee9436c2,64beb098ba8318f4ee9436c2,makkiyzy,zeptimus,natesuits,0.0,55.0,False,for putting together the first TE Barcamp as a ETHCC side event!
14,20,64beb0bcba8318f4ee9439fd,2023-07-24T17:11:24.239000Z,pat.zip (TE Academy)#5266,Isaac (enti)#1546,for pulling a full track of TE at ETHCC together!!,0,64beb098ba8318f4ee9436c2,64beb098ba8318f4ee9436c2,makkiyzy,zeptimus,natesuits,7.0,55.0,False,for pulling a full track of TE at ETHCC together!!
15,31,64beb112ba8318f4ee943fcd,2023-07-24T17:12:50.589000Z,pat.zip (TE Academy)#5266,liviade#1387,"for organizing the TE track at ETHCC with such informative talks, it was the fullest room of the conference all day!",64beb0bcba8318f4ee9439fd,64beb098ba8318f4ee9436c2,64beb098ba8318f4ee9436c2,makkiyzy,zeptimus,natesuits,0.0,55.0,False,"for organizing the TE track at ETHCC with such informative talks, it was the fullest room of the conference all day!"
19,159,64e39c19c5ce3333d051b6bc,2023-08-21T17:17:13.674000Z,akrtws#4246,natesuits#4789,for participating in the TE panel!,0,0,64e39bffc5ce3333d051b586,acidlazzer,zeptimus,natesuits,13.0,34.0,False,for participating in the TE panel!
20,169,64e39c76c5ce3333d051bcb6,2023-08-21T17:18:46.818000Z,ygg_anderson#4998,bear100#9085,for the work he has been putting to the QF tool,0,64d125d949fdcebef2bbe478,64d125d949fdcebef2bbe478,acidlazzer,r-x-x,natesuits,1.66666666666667,34.0,False,for the work he has been putting to the QF tool
22,131,64e39b0ec5ce3333d051a640,2023-08-21T17:12:46.467000Z,ygg_anderson#4998,natesuits#4789,for his analysis of QF and the work he is putting into fine tuning our grant matching program!,0,64d125d949fdcebef2bbe478,64d125d949fdcebef2bbe478,acidlazzer,r-x-x,natesuits,1.66666666666667,34.0,False,for his analysis of QF and the work he is putting into fine tuning our grant matching program!
23,165,64e39c37c5ce3333d051b9a4,2023-08-21T17:17:43.027000Z,ygg_anderson#4998,gideonro#0,for his passion and for investing deeply in making the QF-SME signal something even more powerful for the TEC and for funding the field of token engineering.,0,0,64d125d949fdcebef2bbe478,acidlazzer,r-x-x,natesuits,5.33333333333333,34.0,False,for his passion and for investing deeply in making the QF-SME signal something even more powerful for the TEC and for funding the field of token engineering.
32,97,64d1265f49fdcebef2bbee7a,2023-08-07T17:14:07.054000Z,acidlazzer#5796,natesuits#4789,for always being there when we needed you and providing awesome graphics for the TEC!,0,64beb1a9ba8318f4ee9446d9,64beb1a9ba8318f4ee9446d9,innov8tor3,r-x-x,natesuits,0.0,21.0,False,for always being there when we needed you and providing awesome graphics for the TEC!
37,101,64d1269149fdcebef2bbf0e1,2023-08-07T17:14:57.888000Z,acidlazzer#5796,bear100#9085,for the awesome designs for this grants round,0,64beb1a9ba8318f4ee9446d9,64beb1a9ba8318f4ee9446d9,innov8tor3,r-x-x,natesuits,0.0,21.0,False,for the awesome designs for this grants round
