,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
0,0,record giveconomi talk save day 🎉,"for recording the GIVeconomy talk, and saving the day 🎉",66.33,karmaticacid#1218,2021-07-28T22:00:00.000Z,
2,2,brave enough let happen,for being brave enough to let it happen,50.0,liviade#1387,2021-07-18T22:00:00.000Z,
3,3,jump observ prais audit final,for jumping in and observing the Praise Audit finalization,53.33,liviade#1387,2021-07-12T22:00:00.000Z,
5,5,contribut comm,for all of their contributions to comms,49.7,acidlazzer#5796,2021-07-15T22:00:00.000Z,
9,9,danc,for all the dancing,50.67,"sem(🌸,🐝)#0161",2021-07-30T22:00:00.000Z,
11,11,audit channel make sure one miss get prais deserv ,for auditing this channel and making sure those that no one misses out on getting praise they deserve.,10.8,iviangita#3204,2021-07-15T22:00:00.000Z,
14,14,amaz brainstorm around govern narr dao livia,for the amazing brainstorming around governance and the narratives of DAOs with Livia,54.0,OddName#8763,2021-07-30T22:00:00.000Z,
16,16,help gravity’ infograph,for helping with Gravity’s infographics,48.87,acidlazzer#5796,2021-07-30T22:00:00.000Z,
18,18,relentlessli pump graphics💛,for relentlessly pumping out the graphics💛,56.67,acidlazzer#5796,2021-07-25T22:00:00.000Z,
19,19,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,9.13,iviangita#3204,2021-07-15T22:00:00.000Z,
21,21,fantast pari tip upcom week,for all their fantastic Paris tips for this upcoming week,6.9,jukren#8803,2021-07-15T22:00:00.000Z,
35,35,help zer around,for helping Zer8 around,53.33,liviade#1387,2021-07-15T22:00:00.000Z,
37,37,spend last  hour deep dive prais audit,for spending the last 48 hours DEEP DIVING into the Praise Audit,9.3,iviangita#3204,2021-07-16T22:00:00.000Z,
40,40,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,9.57,VitorNunes#0090,2021-07-15T22:00:00.000Z,
42,42,formal mathemat proof schur ostrowski criterion appli quadrat fund,for the formal mathematical proof that the Schur-Ostrowski criterion can be applied to Quadratic Funding,56.67,🐙 octopus#5508,2021-07-15T22:00:00.000Z,
43,43,fantast job comm week could never achiev great ethcc week without watch back doubl prais serious ❤️,"for the fantastic job they've been doing at comms this week! we could've never achieved such a great ethcc week without you watching our backs! DOUBLE PRAISE, seriously ❤️",59.33,acidlazzer#5796,2021-07-23T22:00:00.000Z,
44,44,care put pari prepar make everyon feel safe comfi taken care 🌹,"for all the care they've put in the Paris preparation making everyone feel so safe, comfy and taken care of 🌹",63.67,jukren#8803,2021-07-13T22:00:00.000Z,
53,53,daoist desk day wrangl take care peopl check ann mari,"for being at the DAOist desk all day, wrangling, taking care of people, checking in with Anne Marie",73.33,natesuits#4789,2021-07-30T22:00:00.000Z,
58,58,soft gov sync today ,for being in the soft gov sync today!,31.0,liviade#1387,2021-07-26T22:00:00.000Z,
61,61,contribut comm,for all of their contributions to comms,32.33,lEscanore#7764,2021-07-15T22:00:00.000Z,
63,63,us sinc begin although background late appreci silent hustl,for being with us since the beginning although she has been in the background as of late. We appreciate your silent hustle,35.67,akrtws (TE Academy)#4246,2021-07-15T22:00:00.000Z,
64,64,hold ground us away,for holding the grounds while most of us were away,33.17,karmaticacid#1218,2021-07-28T22:00:00.000Z,
68,68,make progress awesom propos invert ,for making progress on the awesome proposal inverter!,34.0,Pat ✨#3662,2021-07-28T22:00:00.000Z,
70,70,walk get wxdai ,for walking me through how to get wxDai!,34.0,karmaticacid#1218,2021-07-14T22:00:00.000Z,
71,71,talk garden today ethcc made us proud jump bee  ,"for his talk on Gardens today at ethcc, you made all of us proud!! <a:jump_bee:766086726778748938>",49.67,sacha 🐝#8437,2021-07-20T22:00:00.000Z,
72,72,present arborvot tespotlight ,for presenting ArborVote to the TEspotlight!,34.0,mheuer#9922,2021-07-28T22:00:00.000Z,
77,77,talk ethcc 🇫🇷,for his talk in ethcc 🇫🇷,41.0,barnabé#7926,2021-07-19T22:00:00.000Z,
79,79,risk live come ethcc pari,for risking their lives to come to EthCC in Paris,52.33,natesuits#4789,2021-07-30T22:00:00.000Z,
81,81,heart full care tec member esp newer potenti member man tec stand daoist day ,"for his heart-full care of TEC members esp. newer or potential members, and for manning the TEC stand at the DAOist ALL DAY!",48.0,natesuits#4789,2021-07-24T22:00:00.000Z,
