index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
74,6564cdb5610ffa10d156ea4f,2023-11-27T17:11:17.106000Z,Tamarandom#9361,bear100#9085,for the incredible work leading the OP migration and making sure everything gets completed on time,55,144.0,13,,,,False,False,False,divine_comedian,bear100,makkiyzy,70.6666666666667,131.0
69,6564cd63610ffa10d156c409,2023-11-27T17:09:55.998000Z,bear100#9085,Tamarandom#9361,for the SWOT analysis in the fiduciary stewarship draft doc. It's cleat that dozens of hours of work went into that.,89,,8,,,,False,False,False,divine_comedian,enti,acidlazzer,32.3333333333333,81.0
92,6564ce67610ffa10d1570403,2023-11-27T17:14:15.374000Z,natesuits#4789,gideonro#0,for his leadership and ownership in driving the new TEC events series,5,55.0,21,,,,False,False,False,nuggan,bear100,makkiyzy,27.0,50.0
70,6564cd65610ffa10d156c4d0,2023-11-27T17:09:57.998000Z,natesuits#4789,eenti,for all the twitter spaces,8,55.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,23.6666666666667,47.0
99,6564cee4610ffa10d157133b,2023-11-27T17:16:20.808000Z,natesuits#4789,Tamarandom#9361,"for preparing and hosting X-spaces for the gitcoin round. You are always so well prepared, eloquent and knowlegeable. You represent the TEC well in these public endeavors.",8,55.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,23.6666666666667,47.0
75,6564cdbd610ffa10d156ebe0,2023-11-27T17:11:25.309000Z,bear100#9085,Tamarandom#9361,"for such skilled writing these past couple of weeks. The post about Guardians, WATER exit, the drafted convenant. The TEC migration to Optimism will be a success in large part based on your efforts!",55,,8,,,,False,False,False,divine_comedian,enti,acidlazzer,21.0,47.0
101,6564cef5610ffa10d1571511,2023-11-27T17:16:37.570000Z,natesuits#4789,bear100#9085,for leading and doing all the needed coordination to have such grate events in the last few weeks. I really enjoy every single one of them!,8,55.0,13,,6564cee4610ffa10d157133b,,False,False,False,nuggan,bear100,makkiyzy,7.0,47.0
31,653fe531521c1c29820ecfa8,2023-10-30T17:17:37.083000Z,"Griff (💜,💜)#8888",bear100#9085,for his continuous comms work. Thanks a lot!,8,55.0,13,,653fe4b9521c1c29820ec906,,False,False,False,nuggan,bear100,makkiyzy,7.0,47.0
19,653fe4b9521c1c29820ec906,2023-10-30T17:15:37.281000Z,"Griff (💜,💜)#8888",eenti,for supporting so much the TEC through this month!,8,55.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,25.3333333333333,47.0
59,6557b14955980622b8539e02,2023-11-17T18:30:33.462000Z,bear100#9085,gideonro#0,for his remarkable work on the Fiduciary Stewardship policies that he has been pulling together for the Common Pool and the TEC's overall financial sustainability and health. A ton of work and really great thinking!,55,,13,,,,False,False,False,divine_comedian,enti,acidlazzer,22.6666666666667,42.0
96,6564ce98610ffa10d1570b02,2023-11-27T17:15:04.590000Z,Tamarandom#9361,gideonro#0,for doing sooooo much work for the TEC on top of all the other responsibilities she has in her work and life!,55,13.0,21,,,,False,False,False,divine_comedian,bear100,makkiyzy,29.6666666666667,42.0
77,6564cde6610ffa10d156f47d,2023-11-27T17:12:06.875000Z,eenti,ygg_anderson#4998,For staying on top of TEGR3!,8,34.0,3,,,,False,False,False,nuggan,bear100,acidlazzer,15.0,31.0
91,6564ce66610ffa10d1570340,2023-11-27T17:14:14.525000Z,EFRA#7972,Tamarandom#9361,jumping in to help the TEC write X-threads. It can't be easy to do given that you don't have all the context so appreciate the effort. The results are good.,34,,5,,,,False,False,False,divine_comedian,enti,acidlazzer,13.0,29.0
28,653fe515521c1c29820ecdf7,2023-10-30T17:17:09.573000Z,natesuits#4789,bear100#9085,for putting together the CC and for trying to find great people to present on it,5,34.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,15.6666666666667,29.0
25,653fe4de521c1c29820ecbab,2023-10-30T17:16:14.487000Z,natesuits#4789,bear100#9085,for coordinating and executing on a great first episode of the TE as PG on a Sunday!,5,34.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,17.3333333333333,29.0
88,6564ce1b610ffa10d156fbfa,2023-11-27T17:12:59.979000Z,eenti,Tamarandom#9361,"coordinating the Grants advisory team and evaluation process. Even though it may feel imperfect, the trend is in the direction of getting better each round. This was the best round yet.",8,34.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,15.6666666666667,29.0
9,653fe42b521c1c29820ec3f9,2023-10-30T17:13:15.608000Z,eenti,Tamarandom#9361,managing another round of GG and not letting any detail slip through the cracks.,8,34.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,15.6666666666667,29.0
16,653fe496521c1c29820ec6bd,2023-10-30T17:15:02.977000Z,"Griff (💜,💜)#8888",bear100#9085,for leading and facilitating the conversation about the OP migration and being able to break it down into clear actionable items to move this forward!,8,34.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,16.6666666666667,26.0
95,6564ce82610ffa10d1570849,2023-11-27T17:14:42.861000Z,bear100#9085,Tamarandom#9361,for always keeping TECAN on track with a ready agenda and excellent facilitation week after week after week.,34,,8,6564cdaa610ffa10d156e79c,,,False,False,False,divine_comedian,enti,acidlazzer,2.66666666666667,26.0
71,6564cda5610ffa10d156e62e,2023-11-27T17:11:01.681000Z,Tamarandom#9361,ygg_anderson#4998,For doing such a good job inspiring nominations for TEC Guardians!,34,8.0,13,,,,False,False,False,divine_comedian,bear100,makkiyzy,18.3333333333333,26.0
72,6564cdaa610ffa10d156e79c,2023-11-27T17:11:06.668000Z,bear100#9085,gideonro#0,for the remarkable leadership he continues to show in steering the TECAN and helping it to make meaningful progress for the advancement of the TEC,34,,8,,,,False,False,False,divine_comedian,enti,acidlazzer,14.0,26.0
60,6564cd03610ffa10d156b6e7,2023-11-27T17:08:19.896000Z,Tamarandom#9361,eenti,for all the help during this 3rd grants round!,8,34.0,8,,,,False,False,False,divine_comedian,bear100,makkiyzy,16.6666666666667,26.0
103,6564cf14610ffa10d1571852,2023-11-27T17:17:08.797000Z,ygg_anderson#4998,eenti,for continuing the work on TQF,8,34.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,18.3333333333333,26.0
57,65525b6d443cfd86f78c174d,2023-11-13T17:22:53.178000Z,Tamarandom#9361,natesuits#4789,for always being present and Stewarding the TEC!,34,13.0,8,,,,False,False,False,divine_comedian,bear100,makkiyzy,18.3333333333333,26.0
79,6564cded610ffa10d156f5a6,2023-11-27T17:12:13.235000Z,Tamarandom#9361,eenti,for being on top of Guardian nominations,34,8.0,21,6564cda5610ffa10d156e62e,6564cda5610ffa10d156e62e,,False,False,False,divine_comedian,bear100,makkiyzy,7.0,26.0
80,6564ce09610ffa10d156f917,2023-11-27T17:12:41.271000Z,natesuits#4789,ygg_anderson#4998,For continuing to host the TE public goods series.,8,34.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,18.3333333333333,26.0
83,6564ce18610ffa10d156faf4,2023-11-27T17:12:56.934000Z,Tamarandom#9361,gideonro#0,for being willing to step up and nominate themselves for the role of TEC Guardian and the responsibilities it has for the future of this commons.,34,8.0,21,6564cda5610ffa10d156e62e,,,False,False,False,divine_comedian,bear100,makkiyzy,9.66666666666667,26.0
14,653fe46e521c1c29820ec509,2023-10-30T17:14:22.323000Z,pat.zip (TE Academy)#5266,eenti,and Vasily (can't find his handle) for attending and/or helping coordinate the first TE Grants Program Advisory Meeting!! Lot's of really good feedback. I'm really happy with the discussion we had,8,34.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,16.6666666666667,26.0
13,653fe46e521c1c29820ec505,2023-10-30T17:14:22.322000Z,PhilH#1102,eenti,and Vasily (can't find his handle) for attending and/or helping coordinate the first TE Grants Program Advisory Meeting!! Lot's of really good feedback. I'm really happy with the discussion we had,8,34.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,16.6666666666667,26.0
24,653fe4d3521c1c29820ecac2,2023-10-30T17:16:03.910000Z,🐙 octopus#5508,Tamarandom#9361,"for maintaining the Bonding Curve Research Group and opening up public education with luminaries such as Mark Richardson, of Bancor and Carbon.",34,21.0,13,,,,False,False,False,divine_comedian,bear100,makkiyzy,22.6666666666667,21.0
106,6564cf3a610ffa10d1571c41,2023-11-27T17:17:46.019000Z,akrtws#4246,gideonro#0,for the excellent write-ups on their cadCAD GPT work. This feels like a really important breakthrough!,13,34.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,20.0,21.0
66,6564cd24610ffa10d156bb62,2023-11-27T17:08:52.737000Z,bear100#9085,eenti,for holding all grants round related stuff while I was at Devconnect,21,,3,,,,False,False,False,divine_comedian,enti,acidlazzer,8.0,18.0
63,6564cd24610ffa10d156bb61,2023-11-27T17:08:52.737000Z,EFRA#7972,eenti,for holding all grants round related stuff while I was at Devconnect,21,,3,,,,False,False,False,divine_comedian,enti,acidlazzer,8.0,18.0
105,6564cf1d610ffa10d1571a1f,2023-11-27T17:17:17.002000Z,EFRA#7972,bear100#9085,for stepping up and helping us out with all comms related stuff. Really appreciated,21,,5,6564cee3610ffa10d15711c9,,,False,False,False,divine_comedian,enti,acidlazzer,1.66666666666667,16.0
102,6564cef6610ffa10d15715d9,2023-11-27T17:16:38.387000Z,EFRA#7972,eenti,for stepping up to help with comms with such short notice,21,,5,6564cee3610ffa10d15711c9,,,False,False,False,divine_comedian,enti,acidlazzer,1.66666666666667,16.0
37,653fe5e4521c1c29820ed571,2023-10-30T17:20:36.143000Z,bear100#9085,ygg_anderson#4998,For cultivating very productive and fun TECAN sessions.,21,,5,,,,False,False,False,divine_comedian,enti,acidlazzer,8.66666666666667,16.0
56,65525b5d443cfd86f78c168b,2023-11-13T17:22:37.637000Z,bear100#9085,JHennyArt#2106,For organising the TEC framework and keeping everyone in the loops with the latest events,21,,5,,,,False,False,False,divine_comedian,enti,acidlazzer,8.66666666666667,16.0
98,6564cee3610ffa10d15711c9,2023-11-27T17:16:19.688000Z,EFRA#7972,gideonro#0,for doing really great work and showing lots of initiative in pulling together Twitter threads for the current grants round. Nice work,21,,5,,,,False,False,False,divine_comedian,enti,acidlazzer,8.66666666666667,16.0
27,653fe4ef521c1c29820ecd2e,2023-10-30T17:16:31.350000Z,natesuits#4789,eenti,for carrying over some great community activities,8,13.0,21,,,,False,False,False,nuggan,bear100,makkiyzy,14.0,13.0
58,65525bd1443cfd86f78c1953,2023-11-13T17:24:33.603000Z,Tamarandom#9361,bear100#9085,for her amazing collaboration in working through the different social components (a lot of docs) of the OP migration,21,34.0,21,,,,False,False,False,divine_comedian,bear100,makkiyzy,25.3333333333333,13.0
76,6564cdcb610ffa10d156eff4,2023-11-27T17:11:39.532000Z,bear100#9085,ygg_anderson#4998,For being so consistent in producing guidelines and documentation for operating procedurs and strategy at TEC.,21,,8,,,,False,False,False,divine_comedian,enti,acidlazzer,9.66666666666667,13.0
53,65525b36443cfd86f78c1440,2023-11-13T17:21:58.097000Z,natesuits#4789,JHennyArt#2106,for organisation and preaparing documentation to do with community and events,8,21.0,21,,,,False,False,False,nuggan,bear100,makkiyzy,16.6666666666667,13.0
52,65525b1e443cfd86f78c1351,2023-11-13T17:21:34.565000Z,Tamarandom#9361,bear100#9085,for taking the Arb opportunity and doing everything needed to make it happen!,8,13.0,21,,,,False,False,False,divine_comedian,bear100,makkiyzy,14.0,13.0
48,65525b1e443cfd86f78c134d,2023-11-13T17:21:34.565000Z,"Griff (💜,💜)#8888",bear100#9085,for taking the Arb opportunity and doing everything needed to make it happen!,8,13.0,21,,,,False,False,False,nuggan,bear100,makkiyzy,14.0,13.0
43,65525a73443cfd86f78c0f2c,2023-11-13T17:18:43.412000Z,natesuits#4789,bear100#9085,for organizing the kickoff Twitter space for the round and coordinating everything and everyone around it,8,21.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,14.0,13.0
7,653fe3fe521c1c29820ec26c,2023-10-30T17:12:30.389000Z,bear100#9085,Tamarandom#9361,for the meticulous drafting of documentation that you have been sharing to advance initiatives across multiple fronts.,21,,8,,,,False,False,False,divine_comedian,enti,acidlazzer,9.66666666666667,13.0
90,6564ce39610ffa10d156fe7f,2023-11-27T17:13:29.551000Z,Tamarandom#9361,bear100#9085,"for all the collaboration in the Guardians, WATER and Covenant work. It’s been awesome working with you!",34,34.0,21,6564cda5610ffa10d156e62e,65525bd1443cfd86f78c1953,,False,False,False,divine_comedian,bear100,makkiyzy,7.0,13.0
35,653fe59e521c1c29820ed2b9,2023-10-30T17:19:26.789000Z,ygg_anderson#4998,bear100#9085,for summarizing and putting together interesting thoughts about what the OP migration entails,8,13.0,21,,,,False,False,False,nuggan,bear100,makkiyzy,14.0,13.0
87,6564ce18610ffa10d156faf1,2023-11-27T17:12:56.934000Z,eenti,gideonro#0,for being willing to step up and nominate themselves for the role of TEC Guardian and the responsibilities it has for the future of this commons.,8,13.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,8.66666666666667,8.0
36,653fe5bc521c1c29820ed37d,2023-10-30T17:19:56.908000Z,eenti,ygg_anderson#4998,For continuing to go above in beyond for TEC coordination and the TE grant rounds.,8,13.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,8.66666666666667,8.0
18,653fe4ac521c1c29820ec844,2023-10-30T17:15:24.380000Z,Tamarandom#9361,bear100#9085,or leading and facilitating the conversation about the OP migration and being able to break it down into clear actionable items to move this forward!,21,13.0,21,653fe39e521c1c29820ebfc4,,,False,False,False,divine_comedian,bear100,makkiyzy,11.3333333333333,8.0
29,653fe51b521c1c29820ecedd,2023-10-30T17:17:15.964000Z,zaremba_ax,ygg_anderson#4998,For a fascinating presentation of the OV cadcad Token model interface! Looks really good!,13,21.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,15.6666666666667,8.0
10,653fe46e521c1c29820ec506,2023-10-30T17:14:22.322000Z,JeffEmmett#7202,eenti,and Vasily (can't find his handle) for attending and/or helping coordinate the first TE Grants Program Advisory Meeting!! Lot's of really good feedback. I'm really happy with the discussion we had,5,,13,,,,False,False,False,nuggan,enti,makkiyzy,6.0,8.0
64,6564cd24610ffa10d156bb60,2023-11-27T17:08:52.737000Z,natesuits#4789,eenti,for holding all grants round related stuff while I was at Devconnect,5,13.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,10.3333333333333,8.0
20,653fe4cd521c1c29820ec9cb,2023-10-30T17:15:57.742000Z,Tamarandom#9361,eenti,for always helping me stay on top of things and in the right way!,5,5.0,13,,,,False,False,False,divine_comedian,bear100,makkiyzy,7.66666666666667,8.0
21,653fe4d3521c1c29820ecac1,2023-10-30T17:16:03.909000Z,ygg_anderson#4998,Tamarandom#9361,"for maintaining the Bonding Curve Research Group and opening up public education with luminaries such as Mark Richardson, of Bancor and Carbon.",21,21.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,18.3333333333333,8.0
0,653fe39e521c1c29820ebfc4,2023-10-30T17:10:54.358000Z,Tamarandom#9361,ygg_anderson#4998,For lead very thorough advise process across many aspects of the OP migration in the TECAN call.,21,13.0,13,,,,False,False,False,divine_comedian,bear100,makkiyzy,15.6666666666667,8.0
85,6564ce18610ffa10d156faf3,2023-11-27T17:12:56.934000Z,"sem(🌸,🐝)#0161",gideonro#0,for being willing to step up and nominate themselves for the role of TEC Guardian and the responsibilities it has for the future of this commons.,13,,21,,,,False,False,False,nuggan,enti,makkiyzy,11.3333333333333,8.0
5,653fe3cf521c1c29820ec0c7,2023-10-30T17:11:43.612000Z,🐙 octopus#5508,eenti,for jumping to last weeks' QF project call and chat through what's happening,13,5.0,5,,,,False,False,False,divine_comedian,bear100,makkiyzy,7.66666666666667,8.0
41,65525a44443cfd86f78c0da8,2023-11-13T17:17:56.747000Z,eenti,natesuits#4789,for all the work preparing for TEGR3!,8,13.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,8.66666666666667,8.0
51,65525b1e443cfd86f78c1350,2023-11-13T17:21:34.565000Z,ygg_anderson#4998,bear100#9085,for taking the Arb opportunity and doing everything needed to make it happen!,5,13.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,8.66666666666667,8.0
50,65525b1e443cfd86f78c134f,2023-11-13T17:21:34.565000Z,eenti,bear100#9085,for taking the Arb opportunity and doing everything needed to make it happen!,8,13.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,8.66666666666667,8.0
78,6564cded610ffa10d156f5a7,2023-11-27T17:12:13.235000Z,bear100#9085,eenti,for being on top of Guardian nominations,13,,5,,,,False,False,False,divine_comedian,enti,acidlazzer,6.0,8.0
11,653fe46e521c1c29820ec507,2023-10-30T17:14:22.322000Z,Tamarandom#9361,eenti,and Vasily (can't find his handle) for attending and/or helping coordinate the first TE Grants Program Advisory Meeting!! Lot's of really good feedback. I'm really happy with the discussion we had,13,21.0,13,,,,False,False,False,divine_comedian,bear100,makkiyzy,15.6666666666667,8.0
23,653fe4d3521c1c29820ecac3,2023-10-30T17:16:03.910000Z,curiousrabbit.eth#0790,Tamarandom#9361,"for maintaining the Bonding Curve Research Group and opening up public education with luminaries such as Mark Richardson, of Bancor and Carbon.",21,21.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,18.3333333333333,8.0
81,6564ce18610ffa10d156faef,2023-11-27T17:12:56.933000Z,"Griff (💜,💜)#8888",gideonro#0,for being willing to step up and nominate themselves for the role of TEC Guardian and the responsibilities it has for the future of this commons.,8,13.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,11.3333333333333,5.0
84,6564ce18610ffa10d156faf2,2023-11-27T17:12:56.934000Z,ygg_anderson#4998,gideonro#0,for being willing to step up and nominate themselves for the role of TEC Guardian and the responsibilities it has for the future of this commons.,8,13.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,11.3333333333333,5.0
100,6564cee5610ffa10d15713a8,2023-11-27T17:16:21.336000Z,akrtws#4246,eenti,"for the chat we had IRL at Devconnect, really great to just hear what's happening around the TEA",5,3.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,5.33333333333333,5.0
82,6564ce18610ffa10d156faf0,2023-11-27T17:12:56.933000Z,natesuits#4789,gideonro#0,for being willing to step up and nominate themselves for the role of TEC Guardian and the responsibilities it has for the future of this commons.,8,13.0,13,,,,False,False,False,nuggan,bear100,makkiyzy,11.3333333333333,5.0
54,65525b4e443cfd86f78c1502,2023-11-13T17:22:22.762000Z,JHennyArt#2106,natesuits#4789,for improving his data analytics skill set and taking some pretty awesome courses!,13,,8,,,,False,False,False,divine_comedian,enti,makkiyzy,7.0,5.0
108,6564cf4b610ffa10d1571d15,2023-11-27T17:18:03.005000Z,gideonro#0,Tamarandom#9361,for taking me back to the big picture view when I get muddy in the details. You have a gift for visioning the future that can be brought to life before most other people are able to see it.,13,,8,,,,False,False,False,nuggan,enti,acidlazzer,7.0,5.0
67,6564cd40610ffa10d156bfe5,2023-11-27T17:09:20.477000Z,"Griff (💜,💜)#8888",eenti,for the very brief catch up we had at the OP Brunch,5,3.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,5.33333333333333,5.0
32,653fe544521c1c29820ed06c,2023-10-30T17:17:56.965000Z,eenti,bear100#9085,for initiating another grants round,8,13.0,8,,653fe3e8521c1c29820ec1ad,,False,False,False,nuggan,bear100,acidlazzer,5.33333333333333,5.0
39,65525a1f443cfd86f78c0c1a,2023-11-13T17:17:19.198000Z,eenti,natesuits#4789,for attending DevConnect and repreenting the TEC!,8,5.0,3,,,,False,False,False,nuggan,bear100,acidlazzer,5.33333333333333,5.0
40,65525a28443cfd86f78c0ce3,2023-11-13T17:17:28.287000Z,JHennyArt#2106,bear100#9085,for being a lifesaver and regaining access to mobile Twitter to be able to host the upcoming space! Thanks youu 🙏🏼,13,,8,,,,False,False,False,divine_comedian,enti,makkiyzy,7.0,5.0
30,653fe51b521c1c29820ecede,2023-10-30T17:17:15.965000Z,0xBlockBoy  🏴#8972,ygg_anderson#4998,For a fascinating presentation of the OV cadcad Token model interface! Looks really good!,8,,13,,,,False,False,False,nuggan,enti,makkiyzy,7.0,5.0
44,65525a84443cfd86f78c0ff2,2023-11-13T17:19:00.838000Z,bear100#9085,natesuits#4789,for always being on top of his roles within the TEC and managing the CT!,13,,8,,,,False,False,False,divine_comedian,enti,acidlazzer,7.0,5.0
45,65525aa3443cfd86f78c10b8,2023-11-13T17:19:31.184000Z,eenti,bear100#9085,for following up on how to migrate projects from OP to Arb,8,13.0,8,,,,False,False,False,nuggan,bear100,acidlazzer,9.66666666666667,5.0
46,65525aad443cfd86f78c117d,2023-11-13T17:19:41.363000Z,JHennyArt#2106,natesuits#4789,for always being available and supporting Comms work!,13,,8,,,,False,False,False,divine_comedian,enti,makkiyzy,7.0,5.0
26,653fe4e0521c1c29820ecc6f,2023-10-30T17:16:16.260000Z,"Griff (💜,💜)#8888",ygg_anderson#4998,For resurrecting TEC Comms!,8,13.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,9.66666666666667,5.0
49,65525b1e443cfd86f78c134e,2023-11-13T17:21:34.565000Z,natesuits#4789,bear100#9085,for taking the Arb opportunity and doing everything needed to make it happen!,8,13.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,9.66666666666667,5.0
6,653fe3e8521c1c29820ec1ad,2023-10-30T17:12:08.980000Z,eenti,ygg_anderson#4998,For launching TEGR3!,13,13.0,8,,,,False,False,False,nuggan,bear100,acidlazzer,11.3333333333333,5.0
34,653fe585521c1c29820ed1f4,2023-10-30T17:19:01.725000Z,eenti,Tamarandom#9361,our weekly working sessions which have been so productive each and every time.,5,8.0,3,,,,False,False,False,nuggan,bear100,acidlazzer,5.33333333333333,5.0
97,6564cea9610ffa10d1570d19,2023-11-27T17:15:21.195000Z,gideonro#0,bear100#9085,for plugging in so quickly into everything going on and always having the best disposition to get right into the work!!,8,,5,,,,False,False,False,nuggan,enti,acidlazzer,4.33333333333333,3.0
15,653fe482521c1c29820ec5f5,2023-10-30T17:14:42.900000Z,r33pich33p#0,ygg_anderson#4998,For adding feedback and comments to many forum threads!,5,8.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,7.0,3.0
8,653fe42a521c1c29820ec332,2023-10-30T17:13:14.317000Z,eenti,ygg_anderson#4998,"For outstanding ecosystem development, meeting with QZ from clr.fund",8,5.0,5,,,,False,False,False,nuggan,bear100,acidlazzer,6.0,3.0
3,653fe3cf521c1c29820ec0c6,2023-10-30T17:11:43.612000Z,ygg_anderson#4998,eenti,for jumping to last weeks' QF project call and chat through what's happening,5,5.0,8,,,,False,False,False,nuggan,bear100,makkiyzy,6.0,3.0
