,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DISMISSAL AGREED,ORIGINAL MSG
47,621f79e243b89009366c932f,2021-09-30T22:00:00.000Z,Juankbell#7458,iviangita#3204,for the Graviton Training,False,False,True,False,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,12.5,False,for the Graviton Training
100,621f79e243b89009366c936c,2021-09-30T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,hanners717#2022,tigeroid#2951,bear100#9085,Mike Brunt#0745,4.0,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
102,621f79e243b89009366c936e,2021-09-30T22:00:00.000Z,Ekeneodigwe#1502,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,True,Sha#6179,tigeroid#2951,bear100#9085,bends#3537,2.75,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
103,621f79e243b89009366c936f,2021-09-30T22:00:00.000Z,innov8tor3#3988,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,Mount Manu#3530,Maxwe11#7157,bear100#9085,eduardovegap#0422,0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
104,621f79e243b89009366c9370,2021-09-30T22:00:00.000Z,Kojak#5611,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,AmwFund#0979,Maxwe11#7157,bear100#9085,eduardovegap#0422,0.75,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
106,621f79e243b89009366c9372,2021-09-30T22:00:00.000Z,anna-marie#8824,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,False,True,Usua◎ Silver#2618,Tam2140#9361,shawn#7046,bends#3537,2.25,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
107,621f79e243b89009366c9373,2021-09-30T22:00:00.000Z,JohnPaller | Opolis#2670,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,liviade#1387,Parrachia#0450,Nuggan#5183,eduardovegap#0422,0.75,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
108,621f79e243b89009366c9374,2021-09-30T22:00:00.000Z,Suga#8514,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,Sha#6179,Maxwe11#7157,Nuggan#5183,Mike Brunt#0745,3.0,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
109,621f79e243b89009366c9375,2021-09-30T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,False,True,Usua◎ Silver#2618,Mettodo#7010,kristofer#1475,bends#3537,3.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
110,621f79e243b89009366c9376,2021-09-30T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,True,True,False,Mount Manu#3530,divine_comedian#5493,Nuggan#5183,Mike Brunt#0745,7.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
