,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DUPLICATION AGREED,ORIGINAL MSG
2,621f79e343b89009366ca148,2021-11-28T23:00:00.000Z,acidlazzer#5796,sidcode#1729,for the param parties poap. Such a pleasant surprise 🙂,0,621f79e343b89009366ca146,0,621f79e343b89009366ca146,Mettodo#7010,AmwFund#0979,Sha#6179,liviade#1387,3.53,False,for the param parties poap. Such a pleasant surprise 🙂
20,621f79e343b89009366ca15c,2021-11-29T23:00:00.000Z,kristofer#1475,MS#4235,for an awesome working session this AM. Great questions and critical thoughts across the board 😎,0,0,621f79e343b89009366ca174,0,missgene#7773,AmwFund#0979,innov8tor3#3988,osycross(🦎🦎)#5943,9.88,False,for an awesome working session this AM. Great questions and critical thoughts across the board 😎
81,621f79e343b89009366ca1bf,2021-12-01T23:00:00.000Z,Zeptimus#3359,Nuggan#5183,for recording and uploading all the calls behind the scenes,0,621f79e343b89009366ca15f,621f79e343b89009366ca15f,621f79e343b89009366ca15f,acidlazzer#5796,bends#3537,innov8tor3#3988,osycross(🦎🦎)#5943,9.63,False,for recording and uploading all the calls behind the scenes
126,621f79e343b89009366ca203,2021-12-03T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for the action recap presentation where she did a thorough breakdown of a difficult decision,0,621f79e343b89009366ca1a7,0,0,missgene#7773,"griff (💜, 💜)#8888",Sha#6179,Nuggan#5183,9.97,False,for the action recap presentation where she did a thorough breakdown of a difficult decision
135,621f79e343b89009366ca20c,2021-12-03T23:00:00.000Z,Zeptimus#3359,Mount Manu#3530,for recording and doing all the (never-ending) behind-the-scenes work,0,0,0,621f79e343b89009366ca15f,acidlazzer#5796,bends#3537,innov8tor3#3988,osycross(🦎🦎)#5943,13.07,False,for recording and doing all the (never-ending) behind-the-scenes work
139,621f79e343b89009366ca210,2021-12-03T23:00:00.000Z,hz#8826,Mount Manu#3530,for setting up the 1Hive Polem Board for us,0,0,621f79e343b89009366ca159,621f79e343b89009366ca159,enti#1546,"griff (💜, 💜)#8888",innov8tor3#3988,Nuggan#5183,3.73,False,for setting up the 1Hive Polem Board for us
146,621f79e343b89009366ca217,2021-12-03T23:00:00.000Z,delightfulabyss.eth#3679,Mount Manu#3530,for joining the orientation call,621f79e343b89009366ca1a5,621f79e343b89009366ca1a5,0,621f79e343b89009366ca1a5,missgene#7773,bends#3537,Sha#6179,osycross(🦎🦎)#5943,0.3,False,for joining the orientation call
147,621f79e343b89009366ca218,2021-12-03T23:00:00.000Z,EdgarWeb3#5783,Mount Manu#3530,for joining the orientation call,621f79e343b89009366ca19e,0,0,621f79e343b89009366ca19e,missgene#7773,Vyvy-vi#5040,teaci#6108,Nuggan#5183,1.05,False,for joining the orientation call
148,621f79e343b89009366ca219,2021-12-03T23:00:00.000Z,John V#2787,Mount Manu#3530,for joining the orientation call,0,621f79e343b89009366ca1a0,0,0,acidlazzer#5796,"griff (💜, 💜)#8888",Sha#6179,liviade#1387,1.7,False,for joining the orientation call
150,621f79e343b89009366ca21b,2021-12-03T23:00:00.000Z,PadInLa#7633,Mount Manu#3530,for joining the orientation call,0,621f79e343b89009366ca1a1,0,0,acidlazzer#5796,"griff (💜, 💜)#8888",Usua◎ Silver#2618,liviade#1387,1.52,False,for joining the orientation call
