,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DISMISSAL AGREED,ORIGINAL MSG
60,6256d00b7d6ca6ad95bd5b09,2022-02-03T23:00:00.000Z,shawn#7046,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,True,False,False,False,bear100#9085,Zeptimus#3359,enti#1546,EFRA#7972,0.75,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼
61,6256d00b7d6ca6ad95bd5b0a,2022-02-03T23:00:00.000Z,Zeptimus#3359,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,GideonRo#3175,Usua◎ Silver#2618,enti#1546,AmwFund#0979,2.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
62,6256d00b7d6ca6ad95bd5b0b,2022-02-03T23:00:00.000Z,David (please DYOR...)#4116,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,True,Mike Brunt#0745,Usua◎ Silver#2618,divine_comedian#5493,EFRA#7972,7.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
63,6256d00b7d6ca6ad95bd5b0c,2022-02-03T23:00:00.000Z,Tam2140#9361,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,False,True,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,4.67,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
64,6256d00b7d6ca6ad95bd5b0d,2022-02-03T23:00:00.000Z,sidcode#1729,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,True,True,bear100#9085,Zeptimus#3359,Nuggan#5183,tigeroid#2951,0.25,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
65,6256d00b7d6ca6ad95bd5b0e,2022-02-03T23:00:00.000Z,Rohekbenitez#8753,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,True,True,True,Mike Brunt#0745,lee0007#8152,divine_comedian#5493,EFRA#7972,5.25,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
66,6256d00b7d6ca6ad95bd5b0f,2022-02-03T23:00:00.000Z,Letty#5399,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,True,eduardovegap#0422,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,0.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
67,6256d00b7d6ca6ad95bd5b10,2022-02-03T23:00:00.000Z,innov8tor3#3988,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,True,True,eduardovegap#0422,Usua◎ Silver#2618,divine_comedian#5493,EFRA#7972,0.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
68,6256d00b7d6ca6ad95bd5b11,2022-02-03T23:00:00.000Z,durgadas#9280,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,True,False,True,GideonRo#3175,lee0007#8152,acidlazzer#5796,EFRA#7972,1.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
69,6256d00b7d6ca6ad95bd5b12,2022-02-03T23:00:00.000Z,divine_comedian#5493,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,True,True,True,osycross(🦎🦎)#5943,liviade#1387,Nuggan#5183,tigeroid#2951,0.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
70,6256d00b7d6ca6ad95bd5b13,2022-02-03T23:00:00.000Z,Juankbell#7458,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,True,False,eduardovegap#0422,missgene#7773,Nuggan#5183,AmwFund#0979,1.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
71,6256d00b7d6ca6ad95bd5b14,2022-02-03T23:00:00.000Z,karmaticacid#1218,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,True,True,False,bear100#9085,lee0007#8152,divine_comedian#5493,Tam2140#9361,0.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
72,6256d00b7d6ca6ad95bd5b15,2022-02-03T23:00:00.000Z,"griff (💜, 💜)#8888",freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,True,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,1.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
82,6256d00b7d6ca6ad95bd5b1f,2022-02-06T23:00:00.000Z,durgadas#9280,acidlazzer#5796,for joining the Twitter Weekly Sync and giving tweet ideas for this week,False,True,False,False,GideonRo#3175,lee0007#8152,acidlazzer#5796,EFRA#7972,2.75,False,for joining the Twitter Weekly Sync and giving tweet ideas for this week
83,6256d00b7d6ca6ad95bd5b20,2022-02-06T23:00:00.000Z,bustavo#8085,acidlazzer#5796,for joining the Twitter Weekly Sync and giving tweet ideas for this week,False,True,False,False,GideonRo#3175,liviade#1387,divine_comedian#5493,Tam2140#9361,0.13,False,for joining the Twitter Weekly Sync and giving tweet ideas for this week
84,6256d00b7d6ca6ad95bd5b21,2022-02-06T23:00:00.000Z,Mount Manu#3530,acidlazzer#5796,for joining the Twitter Weekly Sync and giving tweet ideas for this week,True,False,True,True,bear100#9085,lee0007#8152,divine_comedian#5493,AmwFund#0979,0.25,False,for joining the Twitter Weekly Sync and giving tweet ideas for this week
85,6256d00b7d6ca6ad95bd5b22,2022-02-06T23:00:00.000Z,durgadas#9280,acidlazzer#5796,for joining the Twitter Weekly Sync and giving tweet ideas for this week,False,False,False,True,GideonRo#3175,lee0007#8152,acidlazzer#5796,EFRA#7972,1.75,False,for joining the Twitter Weekly Sync and giving tweet ideas for this week
162,6256d00b7d6ca6ad95bd5b6f,2022-02-08T23:00:00.000Z,iviangita#3204,Mount Manu#3530,for your work and commitment as Stewards,False,True,False,False,eduardovegap#0422,lee0007#8152,enti#1546,innov8tor3#3988,7.75,False,for your work and commitment as Stewards
236,6256d00b7d6ca6ad95bd5bb9,2022-02-08T23:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for the work you’re doing with HubSpot and Comms,True,False,False,False,bear100#9085,lee0007#8152,divine_comedian#5493,AmwFund#0979,2.83,False,for the work you’re doing with HubSpot and Comms
242,6256d00b7d6ca6ad95bd5bbf,2022-02-08T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for leading all Stewards and coordinating the work among them,False,False,False,True,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,5.33,False,for leading all Stewards and coordinating the work among them
264,6256d00b7d6ca6ad95bd5bd5,2022-02-08T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for always being so warm and for being a superleader,False,False,False,True,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,0.77,False,for always being so warm and for being a superleader
268,6256d00b7d6ca6ad95bd5bd9,2022-02-08T23:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for welcoming newcomers into our community and showing them around,True,False,False,False,bear100#9085,lee0007#8152,divine_comedian#5493,AmwFund#0979,2.2,False,for welcoming newcomers into our community and showing them around
283,6256d00b7d6ca6ad95bd5be8,2022-02-08T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for the work you do in the Rewards System WG,False,False,False,True,osycross(🦎🦎)#5943,liviade#1387,Nuggan#5183,tigeroid#2951,2.27,False,for the work you do in the Rewards System WG
293,6256d00b7d6ca6ad95bd5bf2,2022-02-08T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for being our current Stewards and for offering guidance and support to anyone who approaches you,False,False,False,True,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,0.77,False,for being our current Stewards and for offering guidance and support to anyone who approaches you
296,6256d00b7d6ca6ad95bd5bf5,2022-02-08T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for being our current Stewards and for offering guidance and support to anyone who approaches you,True,False,False,False,bear100#9085,missgene#7773,acidlazzer#5796,Tam2140#9361,3.67,False,for being our current Stewards and for offering guidance and support to anyone who approaches you
299,6256d00b7d6ca6ad95bd5bf8,2022-02-08T23:00:00.000Z,eduardovegap#0422,Mount Manu#3530,for being our current Stewards and for offering guidance and support to anyone who approaches you,False,False,False,True,Mike Brunt#0745,Zeptimus#3359,Nuggan#5183,tigeroid#2951,6.7,False,for being our current Stewards and for offering guidance and support to anyone who approaches you
300,6256d00b7d6ca6ad95bd5bf9,2022-02-08T23:00:00.000Z,iviangita#3204,Mount Manu#3530,for being our current Stewards and for offering guidance and support to anyone who approaches you,False,True,False,False,eduardovegap#0422,lee0007#8152,enti#1546,innov8tor3#3988,1.4,False,for being our current Stewards and for offering guidance and support to anyone who approaches you
317,6256d00b7d6ca6ad95bd5c0a,2022-02-08T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for your leadership and because without you there’d be no TEC,False,False,False,True,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,1.43,False,for your leadership and because without you there’d be no TEC
343,6256d00b7d6ca6ad95bd5c24,2022-02-08T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for all the time and work you put into the Rewards Systems,False,False,False,True,osycross(🦎🦎)#5943,liviade#1387,Nuggan#5183,tigeroid#2951,2.27,False,for all the time and work you put into the Rewards Systems
346,6256d00b7d6ca6ad95bd5c27,2022-02-08T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for being our community's Stewards,False,False,False,True,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,1.03,False,for being our community's Stewards
349,6256d00b7d6ca6ad95bd5c2a,2022-02-08T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for being our community's Stewards,True,False,False,False,bear100#9085,missgene#7773,acidlazzer#5796,Tam2140#9361,2.77,False,for being our community's Stewards
352,6256d00b7d6ca6ad95bd5c2d,2022-02-08T23:00:00.000Z,eduardovegap#0422,Mount Manu#3530,for being our community's Stewards,False,False,False,True,Mike Brunt#0745,Zeptimus#3359,Nuggan#5183,tigeroid#2951,3.65,False,for being our community's Stewards
354,6256d00b7d6ca6ad95bd5c2f,2022-02-08T23:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for being our community's Stewards,False,True,False,False,bear100#9085,lee0007#8152,divine_comedian#5493,Tam2140#9361,1.13,False,for being our community's Stewards
356,6256d00b7d6ca6ad95bd5c31,2022-02-08T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for being our community's Stewards,False,False,False,True,osycross(🦎🦎)#5943,liviade#1387,Nuggan#5183,tigeroid#2951,0.53,False,for being our community's Stewards
367,6256d00b7d6ca6ad95bd5c3c,2022-02-08T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for all of your contributions,False,False,False,True,Mike Brunt#0745,liviade#1387,acidlazzer#5796,EFRA#7972,4.5,False,for all of your contributions
428,6256d00b7d6ca6ad95bd5c79,2022-02-08T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for your leadership and for always being available to solve whatever comes our way,False,False,False,True,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,0.43,False,for your leadership and for always being available to solve whatever comes our way
452,6256d00b7d6ca6ad95bd5c91,2022-02-08T23:00:00.000Z,daniela afanador#9245,Mount Manu#3530,"for teaming up for a Hackaton, seeking to expand Celeste",False,False,False,True,Mike Brunt#0745,liviade#1387,boonjue.eth#7124,tigeroid#2951,0.73,False,"for teaming up for a Hackaton, seeking to expand Celeste"
455,6256d00b7d6ca6ad95bd5c94,2022-02-08T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for having founded Giveth and for the recent launch of the GIVeconomy,False,False,False,True,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,5.33,False,for having founded Giveth and for the recent launch of the GIVeconomy
467,6256d00b7d6ca6ad95bd5ca0,2022-02-08T23:00:00.000Z,angieberryberry#9822,Mount Manu#3530,for ,False,True,True,True,osycross(🦎🦎)#5943,lee0007#8152,enti#1546,innov8tor3#3988,0.0,False,for 
470,6256d00b7d6ca6ad95bd5ca3,2022-02-08T23:00:00.000Z,pat.zip (TE Academy)#5266,Mount Manu#3530,for ,False,True,True,True,osycross(🦎🦎)#5943,Zeptimus#3359,acidlazzer#5796,EFRA#7972,0.0,False,for 
477,6256d00b7d6ca6ad95bd5caa,2022-02-08T23:00:00.000Z,jh#4856,Mount Manu#3530,for being a real hero with Dune Analytics,False,True,False,False,Mike Brunt#0745,lee0007#8152,Nuggan#5183,EFRA#7972,1.7,False,for being a real hero with Dune Analytics
481,6256d00b7d6ca6ad95bd5cae,2022-02-08T23:00:00.000Z,acidlazzer#5796,Mount Manu#3530,for writing the “how to get TEC” article,True,False,False,False,GideonRo#3175,Zeptimus#3359,divine_comedian#5493,innov8tor3#3988,17.75,False,for writing the “how to get TEC” article
485,6256d00b7d6ca6ad95bd5cb2,2022-02-08T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for the huge coordination efforts achieved in Comms,True,False,False,False,bear100#9085,missgene#7773,acidlazzer#5796,Tam2140#9361,9.67,False,for the huge coordination efforts achieved in Comms
488,6256d00b7d6ca6ad95bd5cb5,2022-02-08T23:00:00.000Z,jh#4856,Mount Manu#3530,for taking on the role of Dune Analytics contributor,False,True,False,False,Mike Brunt#0745,lee0007#8152,Nuggan#5183,EFRA#7972,1.7,False,for taking on the role of Dune Analytics contributor
500,6256d00b7d6ca6ad95bd5cc1,2022-02-08T23:00:00.000Z,alantv#0964,Mount Manu#3530,for the feedback they gave me on a CS video we’re producing,False,True,False,False,eduardovegap#0422,lee0007#8152,boonjue.eth#7124,tigeroid#2951,4.5,False,for the feedback they gave me on a CS video we’re producing
522,6256d00b7d6ca6ad95bd5cd7,2022-02-09T23:00:00.000Z,jh#4856,Mount Manu#3530,for the Dune Analytics efforts,False,True,False,False,Mike Brunt#0745,lee0007#8152,Nuggan#5183,EFRA#7972,1.7,False,for the Dune Analytics efforts
526,6256d00b7d6ca6ad95bd5cdb,2022-02-09T23:00:00.000Z,alantv#0964,Mount Manu#3530,for your work in the Animation & Video Production team,False,True,False,True,eduardovegap#0422,lee0007#8152,boonjue.eth#7124,tigeroid#2951,2.52,False,for your work in the Animation & Video Production team
527,6256d00b7d6ca6ad95bd5cdc,2022-02-09T23:00:00.000Z,MarioRozo#3294,Mount Manu#3530,for your work in the Animation & Video Production team,False,False,False,True,osycross(🦎🦎)#5943,liviade#1387,acidlazzer#5796,tigeroid#2951,2.0,False,for your work in the Animation & Video Production team
532,6256d00b7d6ca6ad95bd5ce1,2022-02-09T23:00:00.000Z,bends#3537,Mount Manu#3530,for attending our Community Call last week,False,False,False,True,Mike Brunt#0745,missgene#7773,Nuggan#5183,AmwFund#0979,1.02,False,for attending our Community Call last week
536,6256d00b7d6ca6ad95bd5ce5,2022-02-09T23:00:00.000Z,Zeptimus#3359,Mount Manu#3530,for attending our Community Call last week,False,False,False,True,GideonRo#3175,Usua◎ Silver#2618,enti#1546,AmwFund#0979,0.67,False,for attending our Community Call last week
539,6256d00b7d6ca6ad95bd5ce8,2022-02-09T23:00:00.000Z,miguelb#5176,Mount Manu#3530,for attending our Community Call last week,False,True,False,False,eduardovegap#0422,lee0007#8152,acidlazzer#5796,tigeroid#2951,1.75,False,for attending our Community Call last week
546,6256d00b7d6ca6ad95bd5cef,2022-02-09T23:00:00.000Z,QUANTUM369#7131,Mount Manu#3530,for attending our Community Call last week,False,False,False,True,bear100#9085,Usua◎ Silver#2618,divine_comedian#5493,AmwFund#0979,0.13,False,for attending our Community Call last week
