USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,221.67679655292395,29.326899888351317,271.0,0.0,251.00369644127525
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,196.2058422456604,28.461161146259766,263.0,15.577499875,240.24450326692016
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,205.98821288365767,0.0,0.0,0.0,205.98821288365767
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,135.25819119885003,30.300855973204314,280.0,15.577499875,181.13654704705434
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,158.06839325064755,0.0,0.0,0.0,158.06839325064755
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,130.92215048623876,0.0,0.0,15.577499875,146.49965036123876
karmaticacid | AFK til Sept 12#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,129.99581451581724,0.0,0.0,0.0,129.99581451581724
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,127.61756188253652,0.0,0.0,0.0,127.61756188253652
Leen#8610,0xf9903c5d11e8f4bfebcf02747d53319e9c4a10c6,118.43960904084264,0.0,0.0,0.0,118.43960904084264
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,115.9956588210072,0.0,0.0,0.0,115.9956588210072
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,79.8159979053249,31.058377372534423,287.0,0.0,110.87437527785933
pat.zip (TE Academy)#5266,0x9f6b969ee3f9c2b0a528b3029049e34bbd4bdb49,95.06440774467457,15.583297357647933,144.0,0.0,110.6477051023225
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,91.31964531105574,18.18051358392259,168.0,0.0,109.50015889497833
Griff 🔥AFK till Sept 15🔥#8888,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,108.05939036519746,0.0,0.0,0.0,108.05939036519746
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,94.92644281290967,0.0,0.0,0.0,94.92644281290967
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,77.12239685658153,0.0,0.0,0.0,77.12239685658153
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,76.83332747574077,0.0,0.0,0.0,76.83332747574077
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,76.12379354094985,0.0,0.0,0.0,76.12379354094985
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,74.54705146363665,0.0,0.0,0.0,74.54705146363665
BiancaGadelha#2667,0x1375847014ba64517210cbfe185808232cf45d4a,71.82060162161592,0.0,0.0,0.0,71.82060162161592
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,71.0388003416148,0.0,0.0,0.0,71.0388003416148
jh#4856,0x8fdc1f4191a1d6b35117e475ccf6ad1fb4485248,62.67549757319941,0.0,0.0,0.0,62.67549757319941
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,43.31441881552449,0.0,0.0,15.577499875,58.89191869052449
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,55.18597270596174,0.0,0.0,0.0,55.18597270596174
Mert Ozd#6679,0x9690a9e92edadd9a4ff64da25eb6ad60791c37ff,55.02829849823042,0.0,0.0,0.0,55.02829849823042
enti#1546,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,49.76592181519764,0.0,0.0,0.0,49.76592181519764
PhilH#1102,0xaa01dec5307cf17f20881a3286dcaa062578cea7,14.341783144894581,29.976203944919984,277.0,0.0,44.317987089814565
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,44.01738299165996,0.0,0.0,0.0,44.01738299165996
mattyjee#8621,0x182312c44a219fd492f3ae177d11120a3ccd2ef3,43.130465573171286,0.0,0.0,0.0,43.130465573171286
MarioRozo#3294,missing user address,41.61285132375734,0.0,0.0,0.0,41.61285132375734
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,41.61285132375734,0.0,0.0,0.0,41.61285132375734
Ratio13#0578,0x6844d559655f8fb1b8644624c9e84217137c9788,39.64192372711585,0.0,0.0,0.0,39.64192372711585
heater#9765,0x57f540a736a647ef2d2ef9cd823c4a4e655858a4,39.195180138543776,0.0,0.0,0.0,39.195180138543776
Jeremy&TheGospelOfChange#8201,0xca63608615de005339652c0eca93c5836eb0c2bd,37.79582154492832,0.0,0.0,0.0,37.79582154492832
AnaTech#7412,0xc0ac93abb5539769edac951d9ebd5bcbfb854b0f,35.86431250021966,0.0,0.0,0.0,35.86431250021966
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,34.98396484038646,0.0,0.0,0.0,34.98396484038646
angieberry.eth#9822,0xc163041d404e7657530491577665e40da84c9bd7,32.47431703399629,0.0,0.0,0.0,32.47431703399629
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,32.24876814291031,298.0,0.0,32.24876814291031
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,31.815898771864532,294.0,0.0,31.815898771864532
bear100#9085,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,28.74269411768841,0.0,0.0,0.0,28.74269411768841
SatoriD#2945,0xee9f5ab4faecbe30012f675bb938031bc51bb49b,27.75723031936766,0.0,0.0,0.0,27.75723031936766
Letty#5399,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,27.26449842020729,0.0,0.0,0.0,27.26449842020729
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,26.25932534592013,0.0,0.0,0.0,26.25932534592013
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,0.0,25.53929289170078,236.0,0.0,25.53929289170078
Nebs#2035,0x16e26789b4052815d450043a637b368bfb3ea63a,25.49723334188542,0.0,0.0,0.0,25.49723334188542
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,8.323884216482561,0.0,0.0,15.577499875,23.901384091482562
Gaian#8075,0x2cecb3b75bc8dfb22725ff657062c47d6ddd4629,19.709275966414907,0.0,0.0,0.0,19.709275966414907
UniPuff 🜐🐙#9571,missing user address,19.545032000028115,0.0,0.0,0.0,19.545032000028115
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,0.0,18.288730926684032,169.0,0.0,18.288730926684032
Parrachia#0450,0xe42f8e2c4b778fcd572c55e457ed77db4cb20a69,16.2601526722923,0.0,0.0,0.0,16.2601526722923
EFRA#7972,0x438cddcc8e6f0e0e18ce33f6b5a8ffcfab5a999c,16.095908705905508,0.0,0.0,0.0,16.095908705905508
stef#9877,0xb1a1225bcf9408f4a8c980f1858734ecb0d537b9,15.655734875988909,0.0,0.0,0.0,15.655734875988909
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,15.577499875,15.577499875
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,15.577499875,15.577499875
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,15.577499875,15.577499875
streamerd#5565,0xed2ef70e8b1ebf95bdfd7ba692454143b2a8263b,13.895039556322509,0.0,0.0,0.0,13.895039556322509
johnjonas#2307,0x80a8c828673b928db79e47ec1b0cad5a7d71deea,13.349749587918364,0.0,0.0,0.0,13.349749587918364
🐙 octopus#5508,0x77d40c87d423efb7ec576e80998a48377adf86df,13.310331035985534,0.0,0.0,0.0,13.310331035985534
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,11.661321613462153,0.0,0.0,0.0,11.661321613462153
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,11.332833680688571,0.0,0.0,0.0,11.332833680688571
miguelb#5176,0x7311b7bf2f004b8070efaf4a130348eeb18ef369,11.116031645058008,0.0,0.0,0.0,11.116031645058008
Nate0909#4419,missing user address,10.840101781528201,0.0,0.0,0.0,10.840101781528201
ReForest#1211,missing user address,10.734985643040654,0.0,0.0,0.0,10.734985643040654
mmurthy | showkarma.xyz#4254,missing user address,10.294811813124053,0.0,0.0,0.0,10.294811813124053
24nico#9513,missing user address,10.294811813124053,0.0,0.0,0.0,10.294811813124053
wslyvh#1059,0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,9.690394016820663,0.0,0.0,0.0,9.690394016820663
Caeser (PST)#0046,missing user address,9.526150050433872,0.0,0.0,0.0,9.526150050433872
HBesso31🐙#4560,missing user address,9.361906084047082,0.0,0.0,0.0,9.361906084047082
DecentralizeSDGs#7544,missing user address,9.033418151273498,0.0,0.0,0.0,9.033418151273498
Aemikorobinson#5961,0xb45a7510eaad1ef02cfad55c67c0ea084cdd40d2,8.75748828774369,0.0,0.0,0.0,8.75748828774369
taxil#8577,0xd26e23aaa39f29e07b299da734c77765f6866a0e,8.626093114634259,0.0,0.0,0.0,8.626093114634259
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,8.212198319339544,0.0,0.0,0.0,8.212198319339544
teresacd#7426,0x1f9e7984eddb135ab6d6f354e229970bb332dcc4,8.100512422196527,0.0,0.0,0.0,8.100512422196527
Jolly LaMa#5962,missing user address,7.883710386565962,0.0,0.0,0.0,7.883710386565962
Mike Brunt#0745,0x457ea659aaabd496550264c6d9d6351666f2fb4b,7.883710386565962,0.0,0.0,0.0,7.883710386565962
mafer_cordovas#1034,0xd5288ed50a195017e5b30595f65091a7767817a4,7.765454730767473,0.0,0.0,0.0,7.765454730767473
AnnAnna#4694,0x9ef53569800e203c20200256cf134abc675bc8e1,7.719466420179172,0.0,0.0,0.0,7.719466420179172
Costa#7828,0x741670c5085da689944faa9543e9ab610a00a06d,7.443536556649363,0.0,0.0,0.0,7.443536556649363
sidcode#1729,0xd0ef3a2ae7fb496c0897400f1be46693b6183b0a,7.226734521018799,0.0,0.0,0.0,7.226734521018799
bustavo#8085,missing user address,7.220164762363328,0.0,0.0,0.0,7.220164762363328
shawn#7046,0xc68e8827fc1dd3b2bc94ca8b0228268f16dd6cf6,6.819409484379558,0.0,0.0,0.0,6.819409484379558
MargaritaDave#8576,missing user address,6.405514689084845,0.0,0.0,0.0,6.405514689084845
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,6.241270722698054,0.0,0.0,0.0,6.241270722698054
Yonks#7762,missing user address,5.912782789924472,0.0,0.0,0.0,5.912782789924472
bradleyc#3333,missing user address,5.695980754293908,0.0,0.0,0.0,5.695980754293908
Adam Stallard#5971,missing user address,5.255806924377309,0.0,0.0,0.0,5.255806924377309
ddan#2489,0x94860ea6872d863e91f3ce3f8cf574ef0859620b,5.039004888746745,0.0,0.0,0.0,5.039004888746745
Sha#6179,0x46d79ec988a2f603477e81ff2c0c7edef3901145,4.763075025216936,0.0,0.0,0.0,4.763075025216936
noah_saav#338,missing user address,4.763075025216936,0.0,0.0,0.0,4.763075025216936
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,4.763075025216936,0.0,0.0,0.0,4.763075025216936
lEscanore#7764,missing user address,4.598831058830145,0.0,0.0,0.0,4.598831058830145
Sandra_Bubbles#7307,missing user address,4.270343126056564,0.0,0.0,0.0,4.270343126056564
Eclipsingbinary#7338,missing user address,4.106099159669772,0.0,0.0,0.0,4.106099159669772
rx#5834,missing user address,3.6133672605093996,0.0,0.0,0.0,3.6133672605093996
boonjue.eth#7124,missing user address,3.120635361349027,0.0,0.0,0.0,3.120635361349027
graial#0787,0x05a45e7416c77c822e24e9679af29d1f07589b40,2.8447054978192186,0.0,0.0,0.0,2.8447054978192186
Pythagorean#5361,missing user address,2.7921474285754453,0.0,0.0,0.0,2.7921474285754453
ombudsman#3822,missing user address,2.7921474285754453,0.0,0.0,0.0,2.7921474285754453
Baris#3853,missing user address,2.7921474285754453,0.0,0.0,0.0,2.7921474285754453
dghelm#8125,0x151a64570e4997739458455ba4ab5a535fd2e306,2.6279034621886543,0.0,0.0,0.0,2.6279034621886543
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,2.470229254457335,0.0,0.0,0.0,2.470229254457335
alpine.lines#3050,missing user address,2.4636594958018634,0.0,0.0,0.0,2.4636594958018634
PôpLine#9450,missing user address,2.4636594958018634,0.0,0.0,0.0,2.4636594958018634
Jeanne#8780,0x62edaac42add454ebf7f228f50ec8093ea446176,2.4636594958018634,0.0,0.0,0.0,2.4636594958018634
MorganicMovement 🍄#1085,0xd054c5ebf6ab2302b63c4fb30d78d5a2c5996b58,2.4111014265580906,0.0,0.0,0.0,2.4111014265580906
waifu_jpeg#690,missing user address,2.4111014265580906,0.0,0.0,0.0,2.4111014265580906
meerkategral#7740,missing user address,2.2994155294150724,0.0,0.0,0.0,2.2994155294150724
Joao#5751,missing user address,1.9709275966414905,0.0,0.0,0.0,1.9709275966414905
Drew Swissroll#2278,missing user address,1.9709275966414905,0.0,0.0,0.0,1.9709275966414905
xdamman#3734,0xf11704511975cc5908f6dbd89be922f5c86c1055,1.9183695273977173,0.0,0.0,0.0,1.9183695273977173
mZ#3472,missing user address,1.8066836302546998,0.0,0.0,0.0,1.8066836302546998
Kojak#5611,0xe3181f4596509af72d684d89947df309f41f65ff,1.6424396638679089,0.0,0.0,0.0,1.6424396638679089
anna-marie#8824,0x8041748a2a16e9b7a3980107f4376774421642c8,1.6424396638679089,0.0,0.0,0.0,1.6424396638679089
Shardul#8924,0x2f1f672c7a55679cb3acbf9aacfb55b61738b045,1.6424396638679089,0.0,0.0,0.0,1.6424396638679089
no_planet_b | PST#6481,missing user address,1.5307537667248912,0.0,0.0,0.0,1.5307537667248912
logonaut.eth#9437,0xb0ccf43ada6cbaa26dcf4907117b496d49f74242,1.478195697481118,0.0,0.0,0.0,1.478195697481118
KZ Flyer#0926,0x343ef442add9bd565d51b606f444f9221ad0aeb6,1.3139517310943272,0.0,0.0,0.0,1.3139517310943272
Lalocripto.eth🏴#8138,missing user address,1.3139517310943272,0.0,0.0,0.0,1.3139517310943272
danlessa#2831,0x62e4851e88bec4f5c5ee3dd347f2c601a18af1af,1.3139517310943272,0.0,0.0,0.0,1.3139517310943272
David (please DYOR...)#4116,missing user address,1.1497077647075362,0.0,0.0,0.0,1.1497077647075362
boonjue.eth#7124,0xef0391ccbebf15fc84334d9630255093754cdaab,1.097149695463763,0.0,0.0,0.0,1.097149695463763
Silverfonic#4121,missing user address,1.097149695463763,0.0,0.0,0.0,1.097149695463763
paul2#3057,0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,1.097149695463763,0.0,0.0,0.0,1.097149695463763
Guy James#3266,0x83ac2bb284930f4a9acfffb7cfb0dc0c92b5ab97,1.097149695463763,0.0,0.0,0.0,1.097149695463763
KinuHero#4397,missing user address,1.097149695463763,0.0,0.0,0.0,1.097149695463763
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,0.9854637983207453,0.0,0.0,0.0,0.9854637983207453
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,0.9854637983207453,0.0,0.0,0.0,0.9854637983207453
MS#4235,0x95660b8f62b6372bb8a821872bf957922de1fe89,0.8737779011777276,0.0,0.0,0.0,0.8737779011777276
Rohekbenitez#8753,0x6c965b656c450259a6d4d95a2e68fb4319eecbc0,0.8737779011777276,0.0,0.0,0.0,0.8737779011777276
joxx | xc labs | symbiotik#8416,missing user address,0.8737779011777276,0.0,0.0,0.0,0.8737779011777276
ClaraZi#5313,missing user address,0.8212198319339544,0.0,0.0,0.0,0.8212198319339544
MisterBoyfriend#7096,missing user address,0.49273189916037263,0.0,0.0,0.0,0.49273189916037263
T Wells#9070,missing user address,0.44017382991659965,0.0,0.0,0.0,0.44017382991659965
guccikudo#8527,missing user address,0.0,0.0,0.0,0.0,0.0
DanKnobelsdorf#0326,0x301605c95acbed7a1fd9c2c0deee964e2afbd0c3,0.0,0.0,0.0,0.0,0.0
