USERNAME,DISCRIMINATOR,DISCORD_ID,AVATAR
lEscanore,7764,88836610321289216,dfce1b892d956b4943422702968eb91a
kwiky,9581,90465325442670592,7730776ccdf6eff4ad599d07fe0f9b37
CMD Burrito,2759,90682005678735360,2fb9b6279add72043258968810d98d12
Pineapple Person,8567,90914734005575680,a_e89a3ce0a2ab99e00e81bf209f39d922
davidhq,6023,97663671152410624,df92dc7391dd2fd0e503ed10b73f50d3
Chicken of the Sea,6942,98828841048375296,47b996a07cede6bec0e855b14d459d1c
jpm120,0951,100333540922634240,
seanwbren,0857,101107934380957696,8e31508aa69dfd8f99fdd6356b017b31
storypup,2167,110852901919801344,25c217f639fedd632069b0f74a4bcb04
T!b!,2584,112371107511767040,85b342fc07387ca79861eccfe9688b65
Nelson DaLN,0173,112465568287772672,8f50902d9c678ee422c6f568e1f6e537
mc47,6517,113720181372485634,
DevilsKnight2669,5930,115306410333569025,e4c5ace1976604235f2e0730c48fbefb
RΞNΔT,1347,115690254593294336,5177edf092542f3b3dc28be5debc8057
METADREAMER 🐙,1111,118260545211072517,b3648009c3d592ae4d0ab2bdd3ec9389
Globallager,4834,124537040204333060,4d406d8ecc9ffdb4eb7ca0f42369f05f
Walshy/Monicurr,6712,125833237128937472,5396e18eeeef8366746c7091aeb423e1
0xGeorge,3175,126357844244168704,9621af57d6ed910d323151d5cdc32f5e
pKrepe,5682,126361233937924096,924e0915f7b1574d767b832d0be4b1fc
2075,1337,128125170509545472,8ba75f6f0f728daba912cc73b100b410
nintynick,2222,131146551295868928,874021128dc94fcaa5f4fa6daa13daa4
yung_calibri,0225,132055527504084992,00084aa505ec17603d1ab62875f1d32f
anisoptera,1872,132500715133206528,205d1fd96186e41154f798de9ac1a5c1
telos,0360,135173596459827200,7e7730b3dd18e5f6144acdb43455a85e
Materialyze,1219,135182126348894208,129fe2c5b5681c7087122024a75d7bfb
pab🐝🐙,6151,135294406499631105,a33c7eb12afe27e9e3c19c9187965ad6
24nico,9513,135957433095815169,b22ca8f63186e161df768cfb311e0138
glitterboy,5815,137051121754701824,b9b34841c22030f87e4d824bdb460b0b
jasper,9782,137320343932108800,cbb36ebc67a82b83b6eb879695aabf18
bitBob,7773,138605875802800128,0d40e4764d351927157a72718fadae9f
Frozen,3126,138696985224937472,db5ed34796d3292c186b8053b7d38fac
Fred.,5650,140257973745352704,1fc092b2c16102652d65e2717ee8c2b6
Laurence Ion,4088,142055291817558017,ac81b962802bc33a48eab3fe1ec50241
Lucas | DefiSafety,7639,142474743029694464,8d4ece6d0686d436467690fe3e3736a4
PadInLa,7633,142706973509419008,c42c5a65204302385fc4d7bd3633a1c7
drex,6435,147292241868619776,ccd6cd63a31071c73756d0834756d221
zero_2hero,1086,147631131724873728,c961789c862abb29fccf3ace785c8759
tylerdmace.eth,4822,147878862288584705,7d9c1e5a1c338ffdc4f8d7806642ccef
theoverarch,2871,152507629397213185,9e7432ee215ef74c36491e6461a4fef2
paythetoll,2998,154330652727181322,de705b4153b3e9ba102606a1854d3e95
Catalyst,8424,154382261490417664,a3b875cd4a258af1d3518ceb59bb6e65
Sapote,7653,155495761931403264,a44d431a0b083cb4ea678e20d3b03953
audieleon | Rap Empire DAO,9746,158399685390761984,2270273e714a66a49a49cf8d7defa42f
casale.eth,6107,159125298384863233,d8ddaa66c1c0d34fe53c2505ad53ac98
Aureus,2202,160441889710014465,b0e72c816cf2ff29beb103fde59c9ef8
Slacking,0191,161091617112064000,6a3b72dcedeacfb6ad4ddcd214cf7ec5
PolandSpring,1987,164026154435477505,ea153fdcb9471f48858c2b881423f504
PhilH,1102,165910079416041473,30fde4978e49d338dce99e4f72a859ca
Nestor,8357,172704027686076417,8d054d3dd97aa0e4d4c61a8fe059413b
siebold_magnolia,7889,174236831116820480,23dfc53aa11c936233ff05c2e84349e3
pocketsnail,6891,175322413297303552,b5e0c141504e3a807a1610fff3fd5ce1
Zenboy,0420,177138370672197633,04968d74a09aa99470c5153b3b0c0723
Erdogan,2770,180471057524850688,c34141be14db2f4fe65f38ccbcb32c70
OYO,2213,180682404401381376,62a4cacc4c5e70bf4dd2a9d9deeafc25
AndikaRizary,2474,181441066992533504,85508f2ae8a2a17150b436e2864ba1df
TEC Recorder,8119,182190632989753345,b2e5a93397c6c6c5a0809b9c3c93e8e8
Jude,7173,182227167529271296,3fa029aa719b70a4e734c4fe44d89c57
beltenebros,4409,182923465144270848,14e369cd97b9af9409c82cf492d618dd
currico,0349,183309246857740289,4ea9169cd7485f42ae28a5a3135a4082
Zeptimus,3359,183879548394274816,5e45f3338bd1b9a2a524cde1083166f6
FredBoat♪♪,7284,184405311681986560,7e25f540b31d70360e69fea14dbd865a
Yonks,7762,185932915803160577,0926d9d436d8ef3addd80ba8dd72a2d9
Thardust,6421,186187669074739201,b8c3d53d742f68588208f6a639f6bae3
tedmund,6093,186313981579886592,a1ebdc20db23cb2d3535585673c33ef9
hxnry,2743,190234460678127616,b7ea322e06c14f24fccc051980e37e18
Veritaz_x,2676,190557889277067265,6af2be7e65b51baedebf766b0944a8a1
Nevin,6585,191052763495399424,
deam,8264,194525516185862145,39a484293bbf1c665557eb5412c7b87b
Robin (alpha.DataUnion.app),5649,194817764236460034,03f59c859a7b1f17dabcd9422e7e4ba7
sebas5384,9823,202823259765473290,bfa18d7e4cd93f14508097f5532ecd72
deef,6065,203595318049112074,5e7cc541a1e7efefe74266d91898f7c7
Fastrian,0189,205297112580096000,18447e9baca2fb9fe233f425e50518c2
penguin,5853,208321561982271489,3cfd892ae2d2006d940a34dd7d76fd7b
santiago,5021,210163178217275394,
JadedReaper,8365,210226499058532352,ce1c3cc9f164d4537f05f7e61aec22cf
niksteel123,9448,211893298166628352,01d52bf37daa1170fbb4166ce312e651
Magne,6089,212044433200250880,7cb2abc7c0e748e0cdb3602668c99648
BandForNewDitty,2496,212048936255488010,
ro,5555,212943226317963267,eb31dacaf8e5a132477df6540832ebea
Anthony,8303,213218012268855307,561dd7309979188f6bdb39bb520595d0
stepa.eth,7202,215529424454549504,c7db82d29557cc51d2682bbab53df541
DootyBird,8422,216677811685949440,02161f43bb045a1031999c64bb5adacc
Annieconda,9780,216946363584348162,c2fc71c50fae5976fd3ffdd9cbdf0f2a
strypey,0310,217262940812869632,
peyton,8717,217828620029132802,6ce5b599950add5196498cd3256d94f1
Alex Hidalgo  | ⛈ Stormx,3365,218896577912242179,dde005b32eab11d96894b2a6ce012b2d
keepitsane,7002,218915683243655168,f735c8a9f7e16a05f45e5f72e893b6c0
deucehearts,5940,219535622065487872,9eaed4da2180537de8bda76e8fc675a4
BaBouPoWer,2227,221969556074135552,d00a2ceea8143ea67aac52b87a972e6e
Igor Line,5073,223092194955886602,4f74c5825a508af4d7e90d5ef7b58225
shaar,2907,224554246551502859,7c6ca93891efd85394780fef8496ee69
tigeroid,2951,229882938970341377,6428837cce6a53c1eb26d9e947d73ddf
xyn/Serg,8459,232648455573602304,8fe072043a3d16351a60bb9ae533ee86
Groovy,7254,234395307759108106,0e7adc5d634d957b7725021c067bfd87
Ermini0,7687,234551051334713354,7ac60a3af876f699865885a6f7902e06
Carl-bot,1536,235148962103951360,cececd50fdc87b29929e65c768f24ad6
Jack Hayter,0036,235550947844161536,a54b5acd94b4469c74b5ccd0641d3a58
MarioRozo,3294,238490993178050560,1a8c12072cebb7bc7b628e795f3c5ad3
Luis  Casseres,0075,238492532462452737,
thousand hours,0203,239127673824215040,ffbacbbffb2b45b9371d63f115c39b2d
addi,6203,240226339196502016,3a40724b96dd817c11c76aef48d261d4
Bolbi Stroganofsky,1791,240377491951190016,58024e5a39ee6444a04b7aa74cabae80
asheldan,0001,240693935075229696,37adb58732109834e557d9805cfac811
rafaelcalcada,1402,244173228572934144,1c3c15d3bef244afa2ebcc80248371cc
λjeremy,5984,246654570443440129,
Kozmos241,0001,248359431849508864,420c88110126ec0cb7a94ac97659d4fd
moritzfelipe,9923,248842379732320258,4a4ac669bcb0ff12e89896453e7376f9
durgadas,9280,249005209710362624,fd52223eb3a60649ccd2e83b04f65f61
Dana,7772,249068528135569411,15542a68ce5f0806af1471a8b613b3a5
Bagholder McFomo III 🐙,9024,249716522375839746,619084f12f12449e5a462aa3c066db9d
mZ,3472,250086586450968576,47dfdb0a34918f2e6a1abcf362dd8cc4
0x𐂂,0878,250140356773937154,30d44702a7be266461d7c01543bc5d43
kaptainkartman,8022,250228574462672897,9080ec40e1375eddc2b5b3bae8bb58a4
Morpheus,2815,253470684745957376,1b47aa7a9da21710d3a45f8cba821ff9
Josxhua,9528,256849652056326144,3e993b035dd9682aa6d36ae807c932c8
Nezz,9461,257561169420746754,229482ca5aec4dfe8f76517d0d6b39b3
ahmad,7204,257589303352229891,d31bb9963309fad69e8a17428fa8e74b
Thena,2630,258786206387666944,901b937016ffe1d6fa465ecbe2208371
0xVoideR,6942,259321666507636736,a_f278c9e7256a8ee2fed2390fc6aeeb1d
Dozier,1143,259492367067774976,3b2f74d1ba5151dcf3d46dc38fb7c897
0xbrian,2734,260686611635896320,3912fa4398da014f73d4af090ea146eb
mviliam,4461,260973208218370052,40956e38f0db6188bc8fc37e51daa04f
asteroidb612,4947,263116500926201856,
bic,9319,263349180754296832,ccc50baad24bdd9777e258e1b2f66d40
pipilu,9598,267105958856097813,2bd9e37401f4c9b389cfa3867a074160
ikonoklast,7445,269021622378168322,72055e34aef18ea848380f493fb8155e
Kirin,4574,270374521813336075,a_21bfaf4a7345db016a427a9a672c109c
ortel.eth,8586,271086678322577418,fb8f368e382435117a68599cda54ffa5
Zeelich,3264,273249639359053835,592ad037e5ce20027d68d692cf370fb0
mrtdlgc 🐝,4912,273619874285355009,e31f55cff95ad3dfa2a257a0387f899c
ffstrauf | UTC +11,6687,275681329155407873,fdb09a592b48ed7019680d6f8a8c8f36
Austin | Llama 🦙,2222,276094672303292419,0e3baf782fb606bf706f63df99f795a3
imranistan,5185,276138386807586817,72bb75d990d88ed42f3fbb4e2942c40a
Cyrus,4242,276896930326511616,701ea40f54929e4fd7c76b0f9e08720a
AmaZed,0511,277056650245046274,28f21b140771c08fb80a9a24602b80c8
Nico,0272,278644490133045248,f922ad3ae38693986a9feca389c1cb6c
luigy 𝗹𝗲𝗺𝗼𝗻,1337,280788802631630858,1b145418b187b14846ff337a60175a7b
hernandoagf,3014,283558770578030592,afe895e387f235a2ff941385b7a07deb
Daré,2446,285159600683089920,916a2b7a1a84f9f7da581b7ce5275982
unquale,1948,285851536041443328,df253de801b9ad7abeef86beab726a49
XYz,2968,287407703666458627,
Serj Hunt,8302,287720969483583489,689a0a0acbba5cd0fa235b62082a4764
divine_comedian,5493,288019500132073472,f2a7e7eb583ccb9397f85406a3962ec3
vincentdnl,8859,288404659209764864,a7cd5bf7b27fb51ea8d6dcaeb8f176fe
HartVyne,8180,289218905560449024,c35575043f929ee8cc2c22b499d8f577
Funny Random Username,3420,289575160519065602,d9090d1d96d8066dee4de62a4ae79ceb
James | NEAR,0357,291388682710024192,48b792661683f55b8dc046f144642bc6
L0GYKAL | APWine🍇,0960,292353897031532544,3b598d1ff895eac8052b44ac8cd39668
AutoBot,1760,294623609786204160,37e80305a10964fe2fc8a9fa39cae34e
Boring877,1378,296161054856314881,b711b6f74cdf3b6a4a5a2d159e2e5a84
MisterBoyfriend,7096,296408814377369621,6d4f9cdcb171f8dba37de15bef4cf3a9
ChaosC,2819,297460031761154049,70cd08a49d4dee729305766cb384beb3
Ome,5158,297986220410273793,6b870538d74142333a9aacebabbb881b
meiji163,5444,298902127651192833,c11d1af4032b9c093ada1965f6bb86f8
gipwop,3911,301933691871952907,2632d5be6088189a14dfe452d32e2503
Virgate Grunt,2046,304651782477578240,cd7003f02dc749029e4a5e618f7a9852
Emerick | Figment,6601,306923744264192002,c6d069b9018b14d504dbf29d769139bc
MartinB,6719,307230622261182485,cacea7f7b71580ad44226476649d89c3
dysbulic 🐙,3391,308430775684956161,bf95718ecc8be0b1f4ba97b705b14720
Jake Hitz,0655,308509547218337792,06c7cc3e013bd3a68d60e8f4ac027a0a
doriandhenry,9152,309696806504103936,e0dfc36a3f80b7d0ccb81b5f15856728
ApeironCreations,9049,309735511461724171,ad9bf59cdcd77b016eccb9b10c21bc1a
brodhisattva,3152,310162692986109952,
nginnever,9842,310911578314637313,36d782c505d532a499fc91c3669e6ef3
Gon,3363,312241938046648322,591430184642c68478a8f446727564ed
witwiki,0518,312779550230708225,cbf47df503ab5755598eace10c08f21b
maker.marc,2396,313364956412117006,6c8462684b36bdeb7a566e17c59e4cbb
🐙 kyle stargarden,7977,313822952003076108,36383e877b00080f7523add22a01f912
lukasab,3489,315112324237099009,d73e8cf02e145998865d9897bb2c9137
NeoCornelius,2319,315641923333259264,c7e723ea4bd86361fb1852737382ce59
poopster,3593,318511843020767252,135f65fb34dd134841b092a20e0536c1
hz,8826,318552163649454081,a7495c44681943eaea928c5e0194b1cb
CurlyBracketEffect,5572,319946214135037953,a726a73ffed29c604e8b6821e6a62301
NikosamA98,5909,321011444755726337,c545d0b39aadd5d720466bed7fc925c2
DeStout,1528,321812470857596940,9b6a71d6b4a362236f798205df4c3442
Mars Robertson 🔮 BaseX.com,8888,322148006352912385,a_ececd4e9a812c394a4ea2784eb66f663
Scal,2921,322524828278063105,
Huxwell | Cali,2172,323063974382010369,4f39c3c4eb980040bb26e5659b3e53f3
rangelRacista,2759,323639400640544788,e3c712b99678e8994a23587ab4317de2
CarsonCase,1300,324750468037476352,c7464d984b1aa8699a930355578288d2
.marie,1295,325671617122271242,f39bbe651b730bde61c047390daa19b9
Brandon | IXO,3980,326801057424343040,7c9722a050a287252f006e64b1c83758
Pradhumna Pancholi,3700,327303113243361280,ea6c249738595b0a9ae10de309fb67d9
Chok,2950,330992326300139523,ec25c793136daabb19f3d1f732c93c46
nylon,9795,333143183355543552,26d0943e29078447e6d7d45e0dd5e494
sponnet,3069,333580755806584833,c256cb5efdd49fac05361edd9429272f
tjayrush,9164,334288075356241920,affc7f66a79b7f8308866d4e1a10cf3b
D0$H,6257,334552861918887936,a_c380f8e3fb067e6b155cb23261fe2ccf
CryptoHamilton,0473,335234097821777933,645601bcad23b13f3f87fa0a33f92ec9
satorid,8361,335531856336257027,7e304fc6cb1d93724dc886281a0c908a
ceresbzns,4276,335897048148738066,e7b001aa975f212e488319b64b03ea82
r33pich33p,6906,336423896599232512,06d14ff234b51011880510cb8be34df2
sevpants,3737,336532418100199428,d5e935145ea7ee5fdc93c70487a21d31
randomshinichi,1165,337308591394521089,e073e51a39a4de3a9b0fe09aa775629e
gordao,0300,337615426727051264,84157afa0d6af24f3d5ef7471643f373
pawa,6365,338897906524225538,1fa2f480b4f2a78ca76221d08b8dee99
markliu,8748,339250275975954436,485814a81f3ba8a045a10f1b7dc29887
galactictourist,7777,339610741655207938,b54710dc4c655ed21dda66b7e1954bc8
Parrachia,0450,340686435268952064,e8992c56ca034abb53c15345b89af0c3
Courier,3104,342472759248420865,78bff6a2f011c6471ca3e2e7bf6b4d68
Motorhead,5889,342656933175754762,13cdd1a020b2abd8e12b01d7ed165cc1
rdfbbx,6437,342966331441938442,c2e3d3cd0b66980887cc383f5ee69937
Bea Dada,1798,343030687072518145,548bc3c7146f966633a370b1e922aa3b
Rare Vandal,6697,343332373326462976,6a45ee6a70669cbc7df0dfbca6d2e3f9
GideonRo,3175,343470788491476992,4ee572be9bb18b06c9292a97a2016cee
myszko,1693,344202324664778752,c9fc12574ceeb4df923ad40ad9bf6604
Kittyslasher.eth🌈 🧻,4392,344710400182321153,e03018d8034b88c56f24b3044fa52ae3
kanye,4892,345706785874903043,a_5c415eb37048398c4b5c36f5bfa8bc6d
BirdieSanders,7685,346042189358432267,2689c2fc118824a3935e92ab19dd601d
stellarmagnet,2769,346071265372536832,ec92b586303cc7d2a7c93fbe361045aa
Quasar,0436,346305486829780993,f9d5e90fcfd5f19b71eee4bd9b1f7cf8
guccikudo,8527,346599926769254402,5f3e305156086f3320db873723c62957
Charles8854,1422,347299365586468875,e4cd3d4517fd305f1d184ce4407a709a
mcb2001,6827,348197549053575180,faa9999b7af2333139f864cc1bfee5d0
andrej,6442,348404302127038466,96193d63730c6d3614d9a59cc90b799e
Diemofu,4612,348708408708431873,235639bed6330231a428461574b13cc9
Motoma,4663,349172787539345408,4d78c8c037cb74f51f118697f6f065d1
unicornio,4441,349202122493132801,c8f65593ed488abe8f07ffe81e320a3d
Crypto Zach,6753,349573251959095296,b05bd150c135317082d9e9c0776842cc
kalamari95,4048,349702620962750466,46eaad7d801baef5a2cf531261574830
Scott_M,5683,352529597335732225,fba69f1a22e502cf5d82bc32e557303d
KraftyBuffalo.eth,3997,353777581218201601,c0cdc0affaa8e30e9bd244f85477aac8
Qubeo,5090,353888873199304714,5e42ef5cf8f19e316a47011317a7fcf4
dev_a1,4890,354748058296254486,
