TO,FROM,REASON,SERVER,DATE,CHANNEL
"griff (💜, 💜)#8888",Fobey.eth#4516,"@griff (💜, 💜) for unique in the construction of community culture. It is ready to integrate the contributions of popular groups, especially international groups, in the community contract and the norms of inclusiveness and mutual respect💯 ",Token Engineering Commons,Jan-01-2022,🙏｜praise
ALOYSIOUS#3049,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
Atotsm#5719,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
r33pich33p#6906,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
innov8tor3#3988,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
KZ Flyer#0926,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
acidlazzer#5796,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
anna-marie#8824,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
taxil#8577,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
ZER8🧠#9093,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
MS#4235,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼 ,Token Engineering Commons,Jan-02-2022,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,"@griff (💜, 💜)  for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏 ",Token Engineering Commons,Jan-02-2022,🙏｜praise
Tam2140#9361,iviangita#3204,"@griff (💜, 💜)  for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏 ",Token Engineering Commons,Jan-02-2022,🙏｜praise
bends#3537,iviangita#3204,"@griff (💜, 💜)  for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏 ",Token Engineering Commons,Jan-02-2022,🙏｜praise
Juankbell#7458,Zeptimus#3359,for doing so nice graphs to represent the imporance of the reserve ratio for a healthy economy! this is great friend! ,Token Engineering Commons,Jan-03-2022,🙏｜praise
iviangita#3204,Zeptimus#3359, for drafting the Transparency of funding flows ,Token Engineering Commons,Jan-03-2022,🙏｜praise
Juankbell#7458,Zeptimus#3359, for drafting the Transparency of funding flows ,Token Engineering Commons,Jan-03-2022,🙏｜praise
Zeptimus#3359,Zeptimus#3359, for drafting the Transparency of funding flows ,Token Engineering Commons,Jan-03-2022,🙏｜praise
