TO,FROM,REASON,SERVER,DATE,CHANNEL
Suga#8514,Vyvy-vi#5040,for making edits in the welcome text ,Token Engineering Commons,Jul-12-2021,🙏praise
Vyvy-vi#5040,Suga#8514,for making edits in the welcome text. ,Token Engineering Commons,Jul-12-2021,🙏praise
acidlazzer#5796,Juankbell#7458,for offering to help us improve some designs for Gravity 🙂 super appreciated your contribution 🙂 ,Token Engineering Commons,Jul-12-2021,🙏praise
chuygarcia92#6692,CMD Burrito#2759,for invite me to play some music ,Token Engineering Commons,Jul-12-2021,🙏praise
David (please DYOR...)#4116,Kris#8703,@David (please DYOR...) for digging into praise! ,Commons Stack,Jul-12-2021,🙌praise
Ekeneodigwe#1502,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,Kris#8703,for her insights (from David) ,Commons Stack,Jul-12-2021,🙌praise
iviangita#3204,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
Kris#8703,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
JeffEmmett#7202,Kris#8703,for praisemageddon (from David) ,Commons Stack,Jul-12-2021,🙌praise
Ekeneodigwe#1502,JessicaZartler#2263,for running faster than I can keep up with! haha Amazing work in your first 6 weeks - we are so lucky to have you on the team! ,Commons Stack,Jul-12-2021,🙌praise
Kris#8703,JessicaZartler#2263,for supporting me the last few weeks in Comms and onboarding Ekene ,Commons Stack,Jul-12-2021,🙌praise
iviangita#3204,JessicaZartler#2263,for supporting me the last few weeks in Comms and onboarding Ekene ,Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,liviade#1387,@Dan Knobelsdorf.eth for taking care of the Trusted Seed garden so well 🌱 ,Commons Stack,Jul-12-2021,🙌praise
Revathi#5324,Kris#8703,"for checking into joining our next AMA to chat about Regen, and coordinating comms and schedules ",Commons Stack,Jul-12-2021,🙌praise
davidhq#6023,griff#3281,"for his incredible work on Zetaseek, a web3 asearch engine https://zetaseek.com/?q=ostrom ",Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
James | NEAR#0357,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
liviade#1387,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
Renzo D5#3503,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
iviangita#3204,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
hanners717#2022,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
liviade#1387,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
griff#3281,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
mikaelseppala#6132,JeffEmmett#7202,for the funny memes & his expertise on complex systems! ,Commons Stack,Jul-12-2021,🙌praise
Vyvy-vi#5040,Kris#8703,and for their changes to the praise bot that helped facilitate the praise and impact hour audit as well as the information to support the recent praise interventions ,Commons Stack,Jul-12-2021,🙌praise
rdfbbx#6437,Kris#8703,and for their changes to the praise bot that helped facilitate the praise and impact hour audit as well as the information to support the recent praise interventions ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,JessicaZartler#2263,@Dan Knobelsdorf.eth for the discussion on Organization Development last week ,Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,JessicaZartler#2263,@Dan Knobelsdorf.eth for the discussion on Organization Development last week ,Commons Stack,Jul-12-2021,🙌praise
liviade#1387,JessicaZartler#2263,@Dan Knobelsdorf.eth for the discussion on Organization Development last week ,Commons Stack,Jul-12-2021,🙌praise
Amin#2164,Tam2140#9361,for all the support you provide on the swiss membership dApp and always being so responsive ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,JessicaZartler#2263,for supporting continuing organization of Org Dev ideas and processes ,Commons Stack,Jul-12-2021,🙌praise
kristofer#1475,JessicaZartler#2263,@Dan Knobelsdorf.eth for leading the TS dashboard project - amazing work so far! ,Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,JessicaZartler#2263,@Dan Knobelsdorf.eth for leading the TS dashboard project - amazing work so far! ,Commons Stack,Jul-12-2021,🙌praise
MehighCB#4516,JessicaZartler#2263,for volunteering to support CS grant initiatives ,Commons Stack,Jul-12-2021,🙌praise
