ID,DATE,TO USER ACCOUNT,TO ETH ADDRESS,FROM USER ACCOUNT,FROM ETH ADDRESS,REASON,SOURCE ID,SOURCE NAME,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 1 ETH ADDRESS,QUANTIFIER 2 USERNAME,QUANTIFIER 2 ETH ADDRESS,QUANTIFIER 3 USERNAME,QUANTIFIER 3 ETH ADDRESS,QUANTIFIER 4 USERNAME,QUANTIFIER 4 ETH ADDRESS,AVG SCORE,CORRECTION ADD,CORRECTION SUB,CORRECTION COMMENT,FINAL QUANT
621f79e243b89009366c9300,2021-09-30T22:00:00.000Z,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,0,3,0,,,,,FALSE,FALSE,FALSE,FALSE,hanners717#2022,0x711CDABCFdEDEf2c82D9dA533268D8bB6b7468f8,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,lee0007#8152,0x3E31155a1c17c9F85e74828447aec412090a4622,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,5,,,,5
621f79e243b89009366c9301,2021-09-30T22:00:00.000Z,Nuggan#5183,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,21,21,5,8,,,,,FALSE,FALSE,FALSE,FALSE,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Maxwe11#7157,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,bear100#9085,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,osycross(🦎🦎)#5943,0xFe99402763531258875949D449db20157b77Ec5C,13,,,,13
621f79e243b89009366c9302,2021-09-30T22:00:00.000Z,Vitor Marthendal#0090,,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,1,3,3,,,,,FALSE,FALSE,FALSE,FALSE,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,eduardovegap#0422,0x1d921dff757610FbDB0073479e12c0a07d382677,3,,,,3
621f79e243b89009366c9303,2021-09-30T22:00:00.000Z,pKrepe#5682,,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,21,5,3,5,,,,,FALSE,FALSE,FALSE,FALSE,AmwFund#0979,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,8,,,,8
621f79e243b89009366c9304,2021-09-30T22:00:00.000Z,fabiomendes#4802,,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,3,21,2,,,,621f79e243b89009366c9314,FALSE,FALSE,FALSE,FALSE,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,Zeptimus#3359,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,enti#1546,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,10,,,,10
621f79e243b89009366c9305,2021-09-30T22:00:00.000Z,markop#2007,,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,34,21,5,,,,,FALSE,FALSE,FALSE,FALSE,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,Maxwe11#7157,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,Nuggan#5183,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,enti#1546,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,20,,,,20
621f79e243b89009366c9306,2021-09-30T22:00:00.000Z,karmaticacid#1218,,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,13,1,13,,,621f79e243b89009366c9404,,FALSE,FALSE,FALSE,FALSE,liviade#1387,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,bear100#9085,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,eduardovegap#0422,0x1d921dff757610FbDB0073479e12c0a07d382677,10,,,,10
621f79e243b89009366c9307,2021-09-30T22:00:00.000Z,"griff (💜, 💜)#8888",,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,8,8,,,,,FALSE,FALSE,FALSE,FALSE,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,Nuggan#5183,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,Mike Brunt#0745,0x457Ea659aAAbD496550264c6d9d6351666f2fB4b,7,,,,7
621f79e243b89009366c9308,2021-09-30T22:00:00.000Z,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,iviangita#3204,,for the amazing work in the Params WG,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,21,3,13,5,,,,,FALSE,FALSE,FALSE,FALSE,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,shawn#7046,0xc68e8827FC1Dd3b2bc94Ca8b0228268f16dd6cf6,Mike Brunt#0745,0x457Ea659aAAbD496550264c6d9d6351666f2fB4b,10,,,,10
621f79e243b89009366c9309,2021-09-30T22:00:00.000Z,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,21,0,5,0,,,,,FALSE,FALSE,FALSE,FALSE,hanners717#2022,0x711CDABCFdEDEf2c82D9dA533268D8bB6b7468f8,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,lee0007#8152,0x3E31155a1c17c9F85e74828447aec412090a4622,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,13,,,,13
621f79e243b89009366c930a,2021-09-30T22:00:00.000Z,Nuggan#5183,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,55,8,21,,,,,FALSE,FALSE,FALSE,FALSE,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Maxwe11#7157,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,bear100#9085,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,osycross(🦎🦎)#5943,0xFe99402763531258875949D449db20157b77Ec5C,23,,,,23
621f79e243b89009366c930b,2021-09-30T22:00:00.000Z,Vitor Marthendal#0090,,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,3,3,8,,,,,FALSE,FALSE,FALSE,FALSE,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,eduardovegap#0422,0x1d921dff757610FbDB0073479e12c0a07d382677,6,,,,6
621f79e243b89009366c930c,2021-09-30T22:00:00.000Z,pKrepe#5682,,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,21,13,5,8,,,,,FALSE,FALSE,FALSE,FALSE,AmwFund#0979,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,11,,,,11
621f79e243b89009366c930d,2021-09-30T22:00:00.000Z,fabiomendes#4802,,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,21,21,13,2,,,,621f79e243b89009366c9314,FALSE,FALSE,FALSE,FALSE,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,Zeptimus#3359,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,enti#1546,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,14,,,,14
621f79e243b89009366c930e,2021-09-30T22:00:00.000Z,markop#2007,,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,55,0,13,,,621f79e243b89009366c9305,,FALSE,FALSE,FALSE,FALSE,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,Maxwe11#7157,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,Nuggan#5183,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,enti#1546,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,23,,,,23
621f79e243b89009366c930f,2021-09-30T22:00:00.000Z,karmaticacid#1218,,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,21,5,34,,,,,FALSE,FALSE,FALSE,FALSE,liviade#1387,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,bear100#9085,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,eduardovegap#0422,0x1d921dff757610FbDB0073479e12c0a07d382677,18,,,,18
621f79e243b89009366c9310,2021-09-30T22:00:00.000Z,"griff (💜, 💜)#8888",,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,0,5,,,621f79e243b89009366c9307,,FALSE,FALSE,FALSE,FALSE,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,Nuggan#5183,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,Mike Brunt#0745,0x457Ea659aAAbD496550264c6d9d6351666f2fB4b,4,,,,4
621f79e243b89009366c9311,2021-09-30T22:00:00.000Z,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,iviangita#3204,,for their support in the dashboard app,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,3,13,8,,,,,FALSE,FALSE,FALSE,FALSE,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,shawn#7046,0xc68e8827FC1Dd3b2bc94Ca8b0228268f16dd6cf6,Mike Brunt#0745,0x457Ea659aAAbD496550264c6d9d6351666f2fB4b,9,,,,9
