"ID","DATE","TO USER ACCOUNT","TO ETH ADDRESS","FROM USER ACCOUNT","FROM ETH ADDRESS","REASON","SOURCE ID","SOURCE NAME","SCORE 1","SCORE 2","SCORE 3","SCORE 4","DUPLICATE ID 1","DUPLICATE ID 2","DUPLICATE ID 3","DUPLICATE ID 4","DISMISSED 1","DISMISSED 2","DISMISSED 3","DISMISSED 4","QUANTIFIER 1 USERNAME","QUANTIFIER 1 ETH ADDRESS","QUANTIFIER 2 USERNAME","QUANTIFIER 2 ETH ADDRESS","QUANTIFIER 3 USERNAME","QUANTIFIER 3 ETH ADDRESS","QUANTIFIER 4 USERNAME","QUANTIFIER 4 ETH ADDRESS","AVG SCORE"
"621f79e343b89009366c9a29","2021-10-31T23:00:00.000Z","eduardovegap#0422","0x1d921dff757610FbDB0073479e12c0a07d382677","MS#4235",,"for consolidating the various onboarding docs and content into final ones and helping see the MVP through!","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",8,13,55,3,,,,,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","GideonRo#3175","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","Parrachia#0450","0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe",19
"621f79e343b89009366c9a2a","2021-11-01T23:00:00.000Z","nic#9212","0x88B353202e61fffeF56bbfbc2748839e7C707e9F","Juankbell#7458","0x7d547666209755FB833f9B37EebEa38eBF513Abb","for the onboarding dashboard! it looks great 🙂","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",8,21,1,1,,,"621f79e343b89009366c9a2b","621f79e343b89009366c9a2b",false,false,false,false,"Mount Manu#3530","0xa2ef65aEcecb83cd1bD3579A8669779099317952","AmwFund#0979","0x536c7E8F18D09d04697E0d2624b44bBA575388c2","innov8tor3#3988","0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253","enti#1546","0x6897aBe0fD62B589260784B21F4ca3F78A0D8017",8
"621f79e343b89009366c9a2b","2021-11-01T23:00:00.000Z","nic#9212","0x88B353202e61fffeF56bbfbc2748839e7C707e9F","Tam2140#9361","0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8","for these dashboard figmas, they are excellent! So much thought went into this. You've thought of so much! Wow. I'm relaly blown away, Nic!","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",13,13,55,8,,,,,false,false,false,false,"Mount Manu#3530","0xa2ef65aEcecb83cd1bD3579A8669779099317952","AmwFund#0979","0x536c7E8F18D09d04697E0d2624b44bBA575388c2","innov8tor3#3988","0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253","enti#1546","0x6897aBe0fD62B589260784B21F4ca3F78A0D8017",22
"621f79e343b89009366c9a2c","2021-11-01T23:00:00.000Z","GideonRo#3175","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,0,0,0,"621f79e343b89009366c9a3c",,"621f79e343b89009366c9a3c",,false,true,false,true,"Usua◎ Silver#2618","0x914C0E63F98a091e74b7c5e78993bB8de735aE74","AmwFund#0979","0x536c7E8F18D09d04697E0d2624b44bBA575388c2","innov8tor3#3988","0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253","shawn#7046","0xc68e8827FC1Dd3b2bc94Ca8b0228268f16dd6cf6",0
"621f79e343b89009366c9a2d","2021-11-01T23:00:00.000Z","acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,0,0,0,,,,,true,true,true,true,"Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","Mike Brunt#0745","0x457Ea659aAAbD496550264c6d9d6351666f2fB4b","hanners717#2022","0x711CDABCFdEDEf2c82D9dA533268D8bB6b7468f8","osycross(🦎🦎)#5943","0xFe99402763531258875949D449db20157b77Ec5C",0
"621f79e343b89009366c9a2e","2021-11-01T23:00:00.000Z","David (please DYOR...)#4116",,"chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,0,0,0,"621f79e343b89009366c9a3e",,,"621f79e343b89009366c9a3e",false,true,true,false,"Usua◎ Silver#2618","0x914C0E63F98a091e74b7c5e78993bB8de735aE74","AmwFund#0979","0x536c7E8F18D09d04697E0d2624b44bBA575388c2","Parrachia#0450","0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69","osycross(🦎🦎)#5943","0xFe99402763531258875949D449db20157b77Ec5C",0
"621f79e343b89009366c9a2f","2021-11-01T23:00:00.000Z","nic#9212","0x88B353202e61fffeF56bbfbc2748839e7C707e9F","chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,0,0,0,,,"621f79e343b89009366c9a3f",,true,true,false,true,"Mount Manu#3530","0xa2ef65aEcecb83cd1bD3579A8669779099317952","AmwFund#0979","0x536c7E8F18D09d04697E0d2624b44bBA575388c2","innov8tor3#3988","0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253","enti#1546","0x6897aBe0fD62B589260784B21F4ca3F78A0D8017",0
"621f79e343b89009366c9a30","2021-11-01T23:00:00.000Z","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737","chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,1,0,0,,,,,true,false,true,true,"Maxwe11#7157","0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74","zhiwei#1356","0x1f83A7b86480E6142A85558Ef6999f6091041906","Parrachia#0450","0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69","shawn#7046","0xc68e8827FC1Dd3b2bc94Ca8b0228268f16dd6cf6",1
"621f79e343b89009366c9a31","2021-11-01T23:00:00.000Z","Juankbell#7458","0x7d547666209755FB833f9B37EebEa38eBF513Abb","chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",0,0,0,1,,,,,true,true,true,false,"Mount Manu#3530","0xa2ef65aEcecb83cd1bD3579A8669779099317952","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2","PhilH#1102","0xAa01DeC5307CF17F20881A3286dcaA062578cea7",1
"621f79e343b89009366c9a32","2021-11-01T23:00:00.000Z","Tam2140#9361","0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8","chuygarcia.eth#6692","0xB22981bA3FE1De2325935c91a3B717168fB86714","for attending todays","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",1,0,1,1,,,,,false,true,false,false,"bends#3537","0x1E975f53956d644868F3eA25690b1bbEda658565","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737","PhilH#1102","0xAa01DeC5307CF17F20881A3286dcaA062578cea7",1
